42595026|Uganda|D014454|341|MH|RtM via: Uganda;Forced Leaf Node Lookup:uganda|TI|MM|168^6^0
42595026|*Abstracting and Indexing|D000043|537|MH|RtM via: Index|TI|MM|55^5^0
42595026|*Research Design|D012107|507|MH|RtM via: Test Method|TI|MM|401^6^0
42595026|*Health Services|D006296|459|MH|RtM via: Test Method|TI|MM|401^6^0
42595026|*Publications|D011642|366|MH|RtM via: Card (document)|TI|MM|61^4^0
42595026|*Dissection|D004210|18|MH|RtM via: Tissue Dissection;Forced Non-Leaf Node Lookup:dissections|TI|MM|306^10^0
42595026|*Elasticity|D004548|18|MH|RtM via: elasticity;Forced Non-Leaf Node Lookup:elasticity|TI|MM|331^10^0
42594379|*Trees|D014197|34296|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|935^5^0;749^4^0;47^5^0
42594379|*Tropical Climate|D014329|5986|MH|Forced Leaf Node Lookup:tropical conditions|TI|MM;RC|480^19^0;1038^19^0
42594379|*Forests|D065928|27159|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|823^6^0;977^7^0
42594379|*Woods|D014934|6450|ET|Entry Term Replacement for "Wood";RtM via: Wood material|TI|MM;RC|432^5^0
42594379|*Biological Phenomena|D001686|786|MH|RtM via: Tissue Growth|TI|MM|803^6^0;565^6^0;414^6^0;93^6^0
42593559|Humans|D006801|1888|CT|Asian Continental Ancestry Group;CT Treecode Lookup: M01.686 (Asian Continental Ancestry Group)||MM;RC
42593559|*Forest|D065928|888|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|50^6^0;95^6^0
42593559|*Asian Continental Ancestry Group|D044466|294|MH|RtM via: Asian Indian|TI|MM|43^6^0
42595107|*Forests|D065928|10638|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|240^8^0;164^6^0;100^7^0
42595107|Trees|D014197|1027|MH|||RC
42591859|*Abies|D028202|21406|MH|RtM via: Abies;Forced Leaf Node Lookup:abies;checkForceMH Boosted|TI|MM;RC|425^5^0
42591859|*Picea|D028222|16840|MH|RtM via: Picea;Forced Leaf Node Lookup:piceas;checkForceMH Boosted|TI|MM;RC|432^5^0
42591859|*Pseudotsuga|D028224|14605|MH|RtM via: Pseudotsuga;Forced Leaf Node Lookup:pseudotsugas;checkForceMH Boosted|TI|MM;RC|439^11^0
42591859|*Larix|D028221|14419|MH|RtM via: Larix;Forced Leaf Node Lookup:larix;checkForceMH Boosted|TI|MM;RC|455^5^0
42591859|*Conifers|D064028|5726|ET|Entry Term Replacement for "Tracheophyta";RtM via: Tracheophyta;checkForceMH Boosted;Forced Non-Leaf Node Lookup:conifers|TI|MM;RC|552^8^0;288^8^0;148^8^0
42591859|*Negative Results|D000076723|2294|MH|RtM via: Negative Results;Forced Leaf Node Lookup:negative results|TI|MM|494^16^0
42591859|*Cycadopsida|D032462|1767|MH|RtM via: Division Coniferophyta (organism)|TI|MM|552^8^0;288^8^0;148^8^0
42591859|*Biological Phenomena|D001686|636|MH|RtM via: Tissue Growth|TI|MM|694^5^0
42591859|*Affordability|D003365|141|ET|Entry Term Replacement for "Costs and Cost Analysis";RtM via: Affordability|TI|MM|654^8^0
42593058|Humans|D006801|121000|CT|Forced Humans: staff|TI|MM;RC
42593058|*Forestry|D016468|30389|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM;RC|1849^8^0;997^8^0;48^8^0
42593058|*Soil|D012987|17003|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|1196^4^0;582^4^0
42593058|Belize|D001531|8927|MH|RtM via: Belize;Forced Leaf Node Lookup:british honduras|TI|MM|82^16^0
42593058|*Agriculture|D000383|15540|MH|RtM via: Agricultural Development (occupation);RtM via: Agriculture;Forced Non-Leaf Node Lookup:agricultural development|TI|MM;RC|317^24^0;1668^12^0;1424^11^0
42593058|*Forest|D065928|13803|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|1722^6^0;1330^6^0;279^6^0;195^6^0
42593058|*Rural Development|D012939|9051|ET|Entry Term Replacement for "Social Planning";RtM via: Rural Development;Forced Non-Leaf Node Lookup:rural developments|TI|MM;RC|1830^17^0;1126^17^0
42593058|*Climate|D002980|6513|MH|RtM via: Climate|TI|MM;RC|612^7^0
42593058|*Survey Methods|D011795|612|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Survey Methods;RtM via: Surveys;Forced Non-Leaf Node Lookup:survey methods|TI|MM|652^14^0;1254^6^0;737^7^0
42593058|Ecology|D004463|1000|MH|Forced Non-Leaf Node Lookup:ecologists||MM|839^10^0
42595344|*Trees|D014197|41107|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM;RC|1830^4^0;919^4^0
42595344|*Quercus|D029963|33831|MH|RtM via: Quercus;Forced Leaf Node Lookup:oaks;checkForceMH Boosted|TI|MM;RC|2053^3^0;1914^3^0;1684^3^0;1645^3^0;1572^4^0;1324^3^0;1190^3^0;609^3^0;216^3^0;40^3^0;157^3^0;1715^3^0
42595344|*Soil|D012987|32321|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM;RC|2016^4^0;1934^4^0;1840^4^0;1751^5^0;1669^5^0;1559^4^0;1532^4^0;1493^4^0;832^5^0;2298^4^0
42595344|*Clay|D000077215|14950|MH|RtM via: clay;Forced Leaf Node Lookup:clays;checkForceMH Boosted|TI|MM|748^5^0
42595344|*Forest|D065928|35751|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|1398^6^0;1216^6^0;567^6^0;256^6^0;61^6^0
42595344|*Agriculture|D000383|4032|MH|RtM via: Agriculture|TI|MM|508^12^0
42595344|*Woods|D014934|3345|ET|Entry Term Replacement for "Wood";RtM via: Wood material|TI|MM|44^5^0
42595344|Ecology|D004463|1000|MH|Forced Non-Leaf Node Lookup:ecologists||MM|2279^9^0
42595542|Malaysia|D008296|1698|MH|RtM via: Malaysia;Forced Leaf Node Lookup:malaya|TI|MM|1106^6^0
42595542|*Forests|D065928|13665|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|1868^6^0;1482^6^0;1215^6^0;406^6^0;465^7^0;54^7^0
42595542|Forestry|D016468|2418|MH|||RC
42595542|*Government|D006076|2052|MH|RtM via: Government;Forced Non-Leaf Node Lookup:governments|TI|MM|983^10^0
42595542|*Affordability|D003365|1803|ET|Entry Term Replacement for "Costs and Cost Analysis";RtM via: Affordability|TI|MM|145^6^0
42595542|*Plant Leaves|D018515|813|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|1311^6^0
42595197|*Seasons|D012621|7522|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM;RC|911^6^0;738^6^0
42595197|*Agricultural Crops|D018556|2710|ET|Entry Term Replacement for "Crops, Agricultural";RtM via: Agricultural Crops;checkForceMH Boosted;Forced Non-Leaf Node Lookup:agricultural crops|TI|MM|1405^18^0;24^18^0
42595197|*Conservation of Natural Resources|D003247|1738|MH|Forced Leaf Node Lookup:deforestation|TI|MM;RC|193^13^0;325^13^0
42595197|Ghana|D005869|1279|MH|RtM via: Ghana;Forced Leaf Node Lookup:gold coast|TI|MM|73^10^0
42595197|*Forests|D065928|11730|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|1356^7^0;1071^6^0;101^6^0
42595197|Trees|D014197|1797|MH|||RC
42595197|*Biological Phenomena|D001686|1305|MH|RtM via: Tissue Growth|TI|MM|129^6^0
42593062|*Forestry|D016468|12547|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM;RC|250^8^0
42593062|Malaysia|D008296|628|MH|RtM via: Malaysia;Forced Leaf Node Lookup:malaya|TI|MM|358^6^0
42593062|Trees|D014197|615|MH|||RC
42593062|*Suggestion|D013404|459|MH|RtM via: therapeutic suggestion|TI|MM|276^10^0
42593062|*Attention|D001288|15|MH|RtM via: Attention;Forced Non-Leaf Node Lookup:attention|TI|MM|21^9^0
42591997|Humans|D006801|8409|CT|African Americans;CT Treecode Lookup: M01.686 (African Americans)||MM;RC
42591997|Animals|D000818|8409|CT|Comb and Wattles;CT Treecode Lookup: A13.242 (Comb and Wattles)||MM
42591997|*Agricultural Crop|D018556|7409|ET|Entry Term Replacement for "Crops, Agricultural";RtM via: Agricultural Crops;checkForceMH Boosted;Forced Non-Leaf Node Lookup:agricultural crops|TI|MM;RC|593^17^0
42591997|*Acacia|D000045|4879|MH|RtM via: Acacia;Forced Leaf Node Lookup:wattle tree;checkForceMH Boosted|TI|MM;RC|519^11^0
42591997|*Trees|D014197|4309|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|81^4^0
42591997|*Vegetables|D014675|2296|MH|Forced Leaf Node Lookup:vegetables;checkForceMH Boosted|TI|MM|346^9^0
