10.2307/1551425|*Senecio|D012674|14075|MH|RtM via: Senecio congestus;Forced Leaf Node Lookup:senecios;checkForceMH Boosted|TI|MM|1501^17^0
10.2307/1551425|*Geese|D005777|13151|MH|RtM via: Geese;Forced Leaf Node Lookup:geese;checkForceMH Boosted|TI|MM|1327^5^0
10.2307/1551425|*Artemisia|D019306|8308|MH|RtM via: Artemisia tilesii;checkForceMH Boosted;Forced Non-Leaf Node Lookup:artemisias|TI|MM|1520^17^0
10.2307/1551425|*Crude Oil|D010578|7879|ET|Entry Term Replacement for "Petroleum";RtM via: Petroleum;checkForceMH Boosted|TI|MM|340^9^0;69^9^0
10.2307/1551425|Alaska|D000413|6382|MH|Forced Leaf Node Lookup:alaska|TI|MM|181^6^0
10.2307/1551425|*Grassland|D065948|6382|MH|Forced Leaf Node Lookup:meadows|TI|MM|97^6^0
10.2307/1551425|*Bryophyta|D044002|8652|MH|RtM via: Mosses|TI|MM;RC|428^4^0
10.2307/1551425|*Brassicaceae|D019607|3825|MH|RtM via: Cochlearia officinalis|TI|MM|1539^22^0
10.2307/1551425|*Seed|D012639|2214|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds|TI|MM;RC|1671^6^0;1047^6^0;306^6^0
10.2307/1551425|Fertilization|D005306|1000|MH|Forced Non-Leaf Node Lookup:fertilizations||MM|214^13^0;533^13^0;588^13^0;652^13^0;794^13^0
10.2307/1551445|Alaska|D000413|1209|MH|RtM via: Alaska;Forced Leaf Node Lookup:alaska|TI|MM;RC|62^6^0
10.2307/1551445|*Dissent and Disputes|D034462|768|MH|RtM via: Discord;RtM via: Disputes;Forced Leaf Node Lookup:disputes|TI|MM|464^12^0;226^7^0
10.2307/1551445|*Hot Temperature|D006358|704|MH|Forced Leaf Node Lookup:heat|TI|MM;RC|356^4^0
10.2307/1551445|*Tundra|D065929|5949|MH|RtM via: Tundra;Forced Non-Leaf Node Lookup:tundras|TI|MM;RC|543^6^0;146^6^0
10.2307/1551445|*Weather|D014887|4236|MH|RtM via: Weather;Forced Non-Leaf Node Lookup:weather|TI|MM;RC|595^3^0;506^3^0;320^7^0
10.2307/1551445|*Sunlight|D013472|1638|MH|RtM via: Sunlight|TI|MM;RC|153^5^0
10.2307/1551445|*Biological Phenomena|D001686|453|MH|RtM via: Tissue Growth|TI|MM|422^6^0
10.2307/1551289|Animals|D000818|82206|CT|Viverridae;CT Treecode Lookup: B01.050.150.900.649.313.750 (Viverridae)||MM;RC
10.2307/1551289|Female|D005260|82206|CT|Forced Lookup:female;CT Text Lookup: female;Forced Non-Leaf Node Lookup:females|TI|MM;RC|532^6^0
10.2307/1551289|*Pollination|D054817|81206|MH|RtM via: Pollination;Forced Leaf Node Lookup:pollination|TI|MM;RC|748^10^0;703^11^0
10.2307/1551289|*Ovule|D056771|15953|MH|RtM via: Plant Ovule;Forced Leaf Node Lookup:ovules|TI|MM|773^5^0
10.2307/1551289|*Viverridae|D045949|15472|MH|RtM via: Genets;Forced Leaf Node Lookup:genets;checkForceMH Boosted|TI|MM|664^6^0;352^6^0
10.2307/1551289|*Saxifragaceae|D031995|12386|MH|RtM via: Saxifragaceae;RtM via: Saxifraga oppositifolia;checkForceMH Boosted;Forced Non-Leaf Node Lookup:saxifragaceae|TI|MM|95^13^0;197^23^0;67^23^0
10.2307/1551289|*Hot Temperature|D006358|7550|MH|RtM via: Heat (physical force);Forced Leaf Node Lookup:heat|TI|MM|426^4^0
10.2307/1551289|Sweden|D013548|7028|MH|RtM via: Swedish ethnic group;Forced Leaf Node Lookup:swedish|TI|MM|180^7^0
10.2307/1551289|*Pollen|D011058|29322|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|973^6^0;896^6^0
10.2307/1551289|*Flowers|D035264|20718|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|759^7^0;523^7^0;463^7^0
10.2307/1551289|*Reproduction|D012098|9285|MH|RtM via: anther dehiscence;RtM via: flowering;RtM via: Reproduction|TI|MM;RC|598^17^0;647^9^0;342^9^0;302^9^0;936^12^0
10.2307/1551289|*Seed|D012639|5715|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM;RC|852^4^0;721^4^0;768^4^0
10.2307/1551289|*Habitats|D017753|5430|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM;RC|327^8^0
10.2307/1551289|*Alpine Tundra|D065929|2244|ET|Entry Term Replacement for "Tundra";RtM via: Alpine Tundra;Forced Non-Leaf Node Lookup:alpine tundras|TI|MM|125^13^0
10.2307/1551289|*Probability|D011336|267|MH|RtM via: Probability;Forced Non-Leaf Node Lookup:probability|TI|MM|682^11^0
10.2307/1551289|Biology|D001695|1000|MH|Forced Non-Leaf Node Lookup:biology||MM|56^7^0
10.2307/1551410|*Seedlings|D036226|13281|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM;RC|792^9^0;547^9^0;516^8^0;344^9^0;374^9^0
10.2307/1551410|*Lichens|D008011|10728|MH|RtM via: Lichen - organism;Forced Leaf Node Lookup:lichens;checkForceMH Boosted|TI|MM;RC|433^7^0
10.2307/1551410|*Grass|D006109|8730|ET|Entry Term Replacement for "Poaceae";RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grass|TI|MM;RC|849^5^0
10.2307/1551410|*Salix|D032108|6123|MH|RtM via: Willow;Forced Leaf Node Lookup:willows;checkForceMH Boosted|TI|MM|838^6^0
10.2307/1551410|*Water|D014867|3222|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM|674^5^0
10.2307/1551410|*Bryophyta|D044002|10686|MH|RtM via: Mosses|TI|MM;RC|529^9^0;399^9^0
10.2307/1551410|*Plant|D010944|8724|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|218^5^0
10.2307/1551410|*Tundra|D065929|4392|MH|RtM via: Tundra;Forced Non-Leaf Node Lookup:tundras|TI|MM|93^6^0
10.2307/1551410|*Seeds|D012639|3759|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM;RC|688^5^0
10.2307/1551410|*Nutrients|D000078622|1011|MH|RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|490^9^0
10.2307/1550586|*Snow|D012914|41810|MH|RtM via: Snow (substance);RtM via: snow - weather;Forced Leaf Node Lookup:snow|TI|MM;RC|460^4^0;317^4^0
10.2307/1550586|*Seasons|D012621|15410|MH|RtM via: Autumn;RtM via: Winter;RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM;RC|303^4^0;336^6^0;276^6^0
10.2307/1550586|*Soil|D012987|11462|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|634^4^0
10.2307/1550586|Colorado|D003120|2930|MH|RtM via: Colorado;Forced Leaf Node Lookup:colorado|TI|MM|138^8^0
