10.2307/3687238|Texas|D013781|306|MH|RtM via: Texas;Forced Leaf Node Lookup:texas|TI|MM|721^5^0;298^5^0
10.2307/3687238|*Spore|D013170|1461|ET|Entry Term Replacement for "Spores";RtM via: Plant spore;RtM via: Reproduction spores;Forced Non-Leaf Node Lookup:spores|TI|MM|107^5^0
10.2307/3687238|Fossils|D005580|735|MH|||RC
10.2307/3687238|*Pollen|D011058|288|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM|96^6^0
10.2307/3687238|*Continental Population Groups|D044469|21|MH|RtM via: North American (race)|TI|MM|663^14^0
10.2307/3687254|*Microscopy, Electron, Scanning|D008855|7247|MH|RtM via: Scanning Electron Microscopy;Forced Leaf Node Lookup:microscopy, scanning electron|TI|MM;RC|520^28^0;508^29^0
10.2307/3687254|*Fossils|D005580|3095|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM;RC|354^6^0
10.2307/3687254|*Clay|D000077215|2380|MH|RtM via: clay;Forced Leaf Node Lookup:clay;checkForceMH Boosted|TI|MM|1313^4^0;425^4^0
10.2307/3687254|Maryland|D008396|1199|MH|RtM via: Maryland (geographic location);Forced Leaf Node Lookup:maryland|TI|MM|446^8^0
10.2307/3687254|*Protoplasm|D003593|1878|ET|Entry Term Replacement for "Cytoplasm";RtM via: Protoplasm;Forced Non-Leaf Node Lookup:protoplasms|TI|MM|1167^10^0
10.2307/3687254|*Biological Phenomena|D001686|1503|MH|RtM via: Tissue Growth|TI|MM|1189^6^0
10.2307/3687254|*Lenses|D007909|1062|MH|RtM via: Lens (device)|TI|MM|1463^10^0;1027^10^0;627^10^0
10.2307/3687254|Australia|D001315|855|MH|RtM via: Australia;Forced Non-Leaf Node Lookup:australia|TI|MM|287^9^0
10.2307/3687254|*Freshwater|D005618|591|ET|Entry Term Replacement for "Fresh Water";RtM via: Fresh Water;Forced Non-Leaf Node Lookup:freshwaters|TI|MM|1375^10^0
10.2307/3687254|*Habitat|D017753|447|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|1386^7^0
10.2307/3687254|*Suture|D013537|96|ET|Entry Term Replacement for "Sutures";RtM via: Surgical sutures;RtM via: Suture Joint;Forced Non-Leaf Node Lookup:sutures|TI|MM|1506^6^0;1147^6^0
10.2307/3687254|Europe|D005060|855|MH|RtM via: Europe|TI|MM|317^6^0
10.2307/3687254|North America|D009656|855|MH|RtM via: North America|TI|MM|298^13^0
10.2307/3687303|Wales|D014852|615|MH|RtM via: Country of Wales;Forced Leaf Node Lookup:wales|TI|MM|526^5^0
10.2307/3687303|Texas|D013781|192|MH|RtM via: Texas;Forced Leaf Node Lookup:texas|TI|MM;RC|374^5^0;206^5^0
10.2307/3687303|Natural Gas|D059206|591|MH|||RC
10.2307/3687303|Oil and Gas Fields|D061329|473|MH|||RC
10.2307/3687303|England|D004739|429|MH|RtM via: England;Forced Non-Leaf Node Lookup:england|TI|MM|514^7^0
10.2307/3687303|*Minerals|D008903|363|MH|RtM via: Shale|TI|MM|295^5^0;73^5^0
10.2307/3687303|*Spore|D013170|309|ET|Entry Term Replacement for "Spores";RtM via: Plant spore;RtM via: Reproduction spores;Forced Non-Leaf Node Lookup:spores|TI|MM|459^5^0;500^5^0;537^5^0
10.2307/3687303|Europe|D005060|210|MH|RtM via: Europe|TI|MM|261^6^0
10.2307/3687303|Canada|D002170|0|MH|RtM via: Canada|TI|MM|485^6^0;272^6^0
10.2307/3687279|Animals|D000818|7212|CT|Mollusca;CT Treecode Lookup: B01.050.500.644 (Mollusca)||MM;RC
10.2307/3687279|*Gymnosperms|D032462|6212|ET|Entry Term Replacement for "Cycadopsida";RtM via: Cycadopsida;checkForceMH Boosted|TI|MM;RC|147^13^0
10.2307/3687279|*Clay|D000077215|1573|MH|RtM via: clay;Forced Leaf Node Lookup:clay;checkForceMH Boosted|TI|MM|673^4^0;30^4^0
10.2307/3687279|*Lignite|D003031|875|ET|Entry Term Replacement for "Coal";RtM via: Lignite;checkForceMH Boosted;Forced Non-Leaf Node Lookup:lignites|TI|MM|645^7^0
10.2307/3687279|Texas|D013781|809|MH|RtM via: Texas;Forced Leaf Node Lookup:texas|TI|MM|99^5^0
10.2307/3687279|*Spores|D013170|5772|MH|RtM via: Plant spore;RtM via: Reproduction spores;Forced Non-Leaf Node Lookup:spores|TI|MM;RC|437^6^0
10.2307/3687279|*Pollen|D011058|1737|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|137^6^0
10.2307/3687279|*Tracheophyta|D064028|1011|MH|RtM via: Gymnosperm|TI|MM|147^13^0
10.2307/3687279|*Mollusca|D008974|729|MH|RtM via: Pelecypod|TI|MM|718^9^0
10.2307/3687279|*Freshwater|D005618|291|ET|Entry Term Replacement for "Fresh Water";RtM via: Fresh Water;Forced Non-Leaf Node Lookup:fresh waters|TI|MM|706^11^0
10.2307/3687209|*Paleontology|D010163|4021|MH|RtM via: Paleontology;Forced Leaf Node Lookup:paleontology|TI|MM;RC|41^12^0
10.2307/3687209|Oklahoma|D009825|919|MH|RtM via: Oklahoma (geographic location);Forced Leaf Node Lookup:oklahoma|TI|MM|930^8^0
10.2307/3687209|*Spores|D013170|7434|MH|RtM via: Plant spore;RtM via: Reproduction spores;Forced Non-Leaf Node Lookup:spores|TI|MM;RC|768^6^0
10.2307/3687209|*Pollen|D011058|2757|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|757^6^0
10.2307/3687209|*Analysis, Factor|D005163|1302|ET|Entry Term Replacement for "Factor Analysis, Statistical";RtM via: Analysis, Factor;Forced Non-Leaf Node Lookup:factor analysis|TI|MM|1363^15^0
10.2307/3687209|*Cluster Analysis|D016000|831|MH|RtM via: statistical cluster;Forced Non-Leaf Node Lookup:cluster analysis|TI|MM|1231^16^0
10.2307/3687275|*Dinoflagellate|D004141|3233|ET|Entry Term Replacement for "Dinoflagellida";RtM via: Dinophyceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:dinoflagellates|TI|MM;RC|86^14^0
10.2307/3687275|*Ecology|D004463|1344|MH|RtM via: Ecology|TI|MM|479^8^0
10.2307/3687275|Biodiversity|D044822|161|MH|||RC
10.2307/3687288|Animals|D000818|13023|CT|Annelida;CT Treecode Lookup: B01.050.500.091 (Annelida)||MM;RC
10.2307/3687288|*Fossils|D005580|12023|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM;RC|187^6^0
10.2307/3687288|*Annelida|D000845|2334|MH|RtM via: Annelida|TI|MM|93^8^0
10.2307/3687288|Paleontology|D010163|1712|MH|||RC
10.2307/3687288|*Alkalies|D000468|633|MH|RtM via: Alkalies|TI|MM|230^13^0
10.2307/3687288|*Preservation, Biological|D011309|576|MH|RtM via: Biologic Preservation|TI|MM|347^12^0
10.2307/3687288|*Jaws|D007568|1053|ET|Entry Term Replacement for "Jaw";RtM via: Jaw;Forced Non-Leaf Node Lookup:jaws|TI|MM|1014^4^0;954^4^0;631^4^0;373^4^0;74^4^0
10.2307/3687288|Canada|D002170|75|MH|RtM via: Canada|TI|MM|691^6^0
10.2307/3687245|*Microscopy, Electron, Scanning|D008855|3159|MH|Forced Leaf Node Lookup:scanning electron microscope|TI|MM;RC|231^28^0
10.2307/3687245|*Artifacts|D016477|2535|MH|RtM via: Morphologic artifacts;Forced Leaf Node Lookup:artifacts|TI|MM|569^8^0
10.2307/3687245|*Freezing|D005615|2412|MH|RtM via: Freezing;Forced Leaf Node Lookup:freezing|TI|MM|1368^8^0
10.2307/3687245|*Fossils|D005580|1749|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM|1687^6^0;1457^6^0;108^6^0
10.2307/3687245|*Surface Tension|D013500|1614|MH|RtM via: Surface Tension;Forced Leaf Node Lookup:surface tensions|TI|MM|660^15^0
10.2307/3687245|*Freeze Drying|D005612|10122|MH|RtM via: Freeze Drying;Forced Non-Leaf Node Lookup:freeze dryings|TI|MM;RC|1081^13^0;1246^13^0
10.2307/3687245|*Desiccation|D003890|4947|MH|RtM via: Desiccation|TI|MM;RC|1534^6^0;1215^6^0;578^6^0;438^6^0
10.2307/3687245|*Spores|D013170|2556|MH|RtM via: Plant spore;RtM via: Reproduction spores;Forced Non-Leaf Node Lookup:spores|TI|MM|1476^6^0;127^6^0
10.2307/3687245|*Pollen|D011058|1938|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM|1464^7^0;115^7^0
10.2307/3687256|United States|D014481|23302|CT|Forced Leaf Node Lookup:american|TI|MM|87^8^0
10.2307/3687256|*Ambrosia|D031164|22302|MH|RtM via: Ambrosia;Forced Leaf Node Lookup:ambrosias;checkForceMH Boosted|TI|MM|332^8^0
10.2307/3687256|*Betula|D029662|20550|MH|RtM via: Betula Genus;Forced Leaf Node Lookup:betulas;checkForceMH Boosted|TI|MM|230^6^0
10.2307/3687256|*Fagus|D029964|17442|MH|RtM via: fagus;Forced Leaf Node Lookup:fagus;checkForceMH Boosted|TI|MM|310^5^0
10.2307/3687256|*Juniperus|D018653|16803|MH|RtM via: Juniperus;RtM via: Juniperus communis;Forced Leaf Node Lookup:juniperus;checkForceMH Boosted|TI|MM|187^9^0
10.2307/3687256|*Picea|D028222|15852|MH|RtM via: Picea;Forced Leaf Node Lookup:piceas;checkForceMH Boosted|TI|MM|121^5^0
10.2307/3687256|*Acer|D031002|14694|MH|RtM via: Acer;Forced Leaf Node Lookup:acer;checkForceMH Boosted|TI|MM|288^4^0
10.2307/3687256|*Larix|D028221|14649|MH|RtM via: Larix;Forced Leaf Node Lookup:larix;checkForceMH Boosted|TI|MM|180^5^0
10.2307/3687256|*Quercus|D029963|14568|MH|RtM via: Quercus;Forced Leaf Node Lookup:quercus;checkForceMH Boosted|TI|MM|294^7^0
10.2307/3687256|*Alnus|D029661|14508|MH|RtM via: Alder plant;Forced Leaf Node Lookup:alnus;checkForceMH Boosted|TI|MM|245^5^0
10.2307/3687256|*Pseudotsuga|D028224|14223|MH|RtM via: Pseudotsuga;Forced Leaf Node Lookup:pseudotsugas;checkForceMH Boosted|TI|MM|168^11^0
10.2307/3687256|*Taxodium|D032489|14058|MH|RtM via: Taxodium;Forced Leaf Node Lookup:taxodiums;checkForceMH Boosted|TI|MM|197^8^0
10.2307/3687256|*Nyssa|D031655|13515|MH|RtM via: Nyssa;Forced Leaf Node Lookup:nyssa;checkForceMH Boosted|TI|MM|303^5^0
10.2307/3687256|*Tsuga|D028225|13038|MH|RtM via: Tsuga heterophylla;Forced Leaf Node Lookup:tsugas;checkForceMH Boosted|TI|MM|137^5^1;154^12^1
10.2307/3687256|*Gramineae|D006109|12537|ET|Entry Term Replacement for "Poaceae";RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:gramineae|TI|MM;RC|219^9^0
10.2307/3687256|*Liquidambar|D031317|12369|MH|RtM via: Sweet Gum Trees;Forced Leaf Node Lookup:liquidambar;checkForceMH Boosted|TI|MM|275^11^0
10.2307/3687256|*Ulmus|D034403|11517|MH|RtM via: Ulmus;Forced Leaf Node Lookup:ulmus;checkForceMH Boosted|TI|MM|252^5^0
10.2307/3687256|*Conifers|D064028|11436|ET|Entry Term Replacement for "Tracheophyta";RtM via: Tracheophyta;checkForceMH Boosted;Forced Non-Leaf Node Lookup:conifers|TI|MM;RC|651^8^0
10.2307/3687256|*Carya|D031325|11175|MH|RtM via: Carya;Forced Leaf Node Lookup:caryas;checkForceMH Boosted|TI|MM|238^5^0
10.2307/3687256|*Pinus|D028223|9507|MH|RtM via: Pinus <genus>;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM|114^5^0
10.2307/3687256|*Cyperaceae|D029785|7869|MH|RtM via: Cyperaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cyperaceae|TI|MM|207^10^0
10.2307/3687256|*Lakes|D060106|7818|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lakes|TI|MM|433^5^0
10.2307/3687256|*Artemisia|D019306|7362|MH|RtM via: Artemisia (plant);checkForceMH Boosted;Forced Non-Leaf Node Lookup:artemisias|TI|MM|317^9^0
10.2307/3687256|*Ephedra|D029789|6324|MH|RtM via: Ephedra;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ephedras|TI|MM|128^7^0
10.2307/3687256|*Pollen|D011058|22191|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|608^6^0;96^6^0
10.2307/3687298|Animals|D000818|2434|CT|Forced Lookup:metazoan;Life Cycles;CT Treecode Lookup: B05.500 (Life Cycles);Life Cycles;CT Treecode Lookup: G07.345.500.550.500 (Life Cycles)|TI|MM;RC|762^8^0
10.2307/3687298|*Facies|D019066|1039|MH|RtM via: Facies;Forced Leaf Node Lookup:facies|TI|MM|1117^6^0
10.2307/3687298|*Plankton|D010933|856|MH|RtM via: Plankton;checkForceMH Boosted|TI|MM|440^10^0
10.2307/3687298|*Capsules|D002214|487|MH|RtM via: capsule (pharmacologic);Forced Leaf Node Lookup:capsules|TI|MM|783^8^0
10.2307/3687298|Northern Europe|D005060|1434|ET|Entry Term Replacement for "Europe";RtM via: Northern Europe;Forced Non-Leaf Node Lookup:northern europe|TI|MM;RC|1352^15^0
10.2307/3687298|North America|D009656|1359|MH|RtM via: North America;Forced Non-Leaf Node Lookup:north america|TI|MM;RC|1334^13^0
10.2307/3687298|*Life Cycles|D008018|1275|ET|Entry Term Replacement for "Life Cycle Stages";RtM via: Life Cycle Stages;Forced Non-Leaf Node Lookup:life cycles|TI|MM|421^11^0
10.2307/3687298|*Reproduction|D012098|789|MH|RtM via: Reproduction|TI|MM|852^12^0
10.2307/3687298|Dissociative Disorders|D004213|1000|MH|Forced Non-Leaf Node Lookup:dissociation||MM|319^12^0
10.2307/3687223|lens intermediate filament proteins|C028286|605|NM|RtM via: lens intermediate filament proteins;Forced SCR Leaf Node Lookup:lentin|TI|MM|541^6^0
10.2307/3687223|*Freshwater|D005618|1869|ET|Entry Term Replacement for "Fresh Water";RtM via: Fresh Water;Forced Non-Leaf Node Lookup:freshwaters|TI|MM;RC|581^10^0;657^10^0
10.2307/3687223|*Dinoflagellida|D004141|1755|MH|RtM via: Peridinium limbatum;Forced Non-Leaf Node Lookup:peridiniums|TI|MM;RC|598^19^0
10.2307/3687223|*Eye Proteins|D005136|604|HM|RtM via: lens intermediate filament proteins|TI|MM|541^6^0
10.2307/3687305|*Plants|D010944|5109|MH|RtM via: Plants|TI|MM;RC|1555^6^0;863^6^0;508^5^0;323^6^0
10.2307/3687305|*Plant Leaves|D018515|1350|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM;RC|257^4^0
10.2307/3687305|India|D007194|99|MH|RtM via: India|TI|MM|1010^5^0
10.2307/3687262|Animals|D000818|2549|CT|Dinosaurs;CT Treecode Lookup: B01.050.150.900.833 (Dinosaurs);Mollusca;CT Treecode Lookup: B01.050.500.644 (Mollusca)||MM;RC
10.2307/3687262|Canada|D002170|913|MH|RtM via: Canada;RtM via: Canadian;Forced Leaf Node Lookup:canadian;Geo Lookup:canadian|TI;AB|MM;RC|540^6^0;91^8^0;578^6^0
10.2307/3687262|*Dinoflagellate|D004141|472|ET|Entry Term Replacement for "Dinoflagellida";RtM via: Dinophyceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:dinoflagellates|TI|MM|270^14^0
10.2307/3687262|Dinosaurs|D025061|1549|MH|||RC
10.2307/3687262|Paleontology|D010163|920|MH|||RC
10.2307/3687262|*Mollusca|D008974|831|MH|RtM via: Pelecypod|TI|MM|126^9^0
10.2307/3687253|*Dinoflagellate|D004141|1763|ET|Entry Term Replacement for "Dinoflagellida";RtM via: Dinophyceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:dinoflagellates|TI|MM;RC|462^14^0;109^14^0;221^14^0
10.2307/3687253|*Accommodation, Ocular|D000065|729|MH|RtM via: Visual Accommodation|TI|MM|1198^11^0
10.2307/3687253|*Knowledge|D019359|165|MH|RtM via: Knowledge|TI|MM|60^9^0
10.2307/3687253|*Standing Position|D000078783|120|MH|RtM via: erect|TI|MM|1187^7^0
10.2307/3687253|*Cysts|D003560|24|MH|RtM via: Cyst;Forced Non-Leaf Node Lookup:cysts|TI|MM|477^5^0;124^5^0;236^5^0
10.2307/3687253|England|D004739|3|MH|RtM via: England|TI|MM|587^7^0
10.2307/3687203|Animals|D000818|3613|CT|Hawks;CT Treecode Lookup: B01.050.150.900.248 (Hawks)||MM;RC
10.2307/3687203|New Zealand|D009520|2613|MH|RtM via: New Zealand;Forced Leaf Node Lookup:new zealand|TI|MM;RC|229^11^0
10.2307/3687203|*Hawks|D046428|1725|MH|RtM via: Hawks (bird);Forced Leaf Node Lookup:hawks;checkForceMH Boosted|TI|MM|1364^5^0;43^5^0
10.2307/3687203|granite|C007886|1408|NM|RtM via: granite;Forced SCR Leaf Node Lookup:granite|TI|MM|330^7^0
10.2307/3687203|Fossils|D005580|2170|MH|||RC
10.2307/3687203|Australia|D001315|1773|MH|RtM via: Australia;Forced Non-Leaf Node Lookup:australia|TI|MM;RC|245^9^0
10.2307/3687203|*Silicon Dioxide|D012822|1407|HM|RtM via: granite|TI|MM|330^7^0
10.2307/3687203|*Spore|D013170|1374|ET|Entry Term Replacement for "Spores";RtM via: Plant spore;RtM via: Reproduction spores;Forced Non-Leaf Node Lookup:spores|TI|MM|160^5^0
10.2307/3687203|*Pollen|D011058|258|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM|166^6^0
10.2307/3687281|*Temperature|D013696|4504|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|1236^11^0;1339^12^0;1100^11^0;836^11^0;499^11^0;781^11^0;925^11^0;1140^11^0;1291^11^0
10.2307/3687281|*Sand|D000080463|2584|MH|RtM via: Sand;Forced Leaf Node Lookup:sand;checkForceMH Boosted|TI|MM|98^4^0
10.2307/3687281|*Microscopy|D008853|2075|MH|RtM via: Light Microscopy;Forced Leaf Node Lookup:light microscopy|TI|MM|274^16^0
