CnE8YNEAAAAJ;Witness  Mojeremane;25652621
Ev87rcQAAAAJ;Michel  Kreutzer;4535199,4535585,4536315,4536151,4535911
Q2dfdkcAAAAJ;Benny  Bytebier;4122238,41508753
L4c-2QcAAAAJ;Richard J. Ellis;41503497,40306301,41505905,40926489
wDVEPNUAAAAJ;Osmo  Rätti;23737023,23735956,30244748
Nb9YayUAAAAJ;Sultan  Hameed;4313993
AP5-B1QAAAAJ;Risa D. Sargent;20744058,4223577,23434789
cSvg75sAAAAJ;Carol  Goodwillie;30033796,10.2307/1941718,4095312,40793098,41425162
kCVjHJQAAAAJ;Michael  Balick;4314245,2807059,2387075
V5rkz6gAAAAJ;Vladimir  Naumov;24708808
HDcqkVUAAAAJ;Henrik  Saxe;2442569,4266023,4267009
ltOB8ugAAAAJ;Hans-Peter  Rusterholz;1478965,4222809,4222197,24122500,20062503,20445893
2Q--pwEAAAAJ;Denis  Boyer;40295389
zPqtuOUAAAAJ;R.C.  Sharma;23792316
zrzC9AoAAAAJ;R.C.  Sharma;23792316,23792278
M2CSh2AAAAAJ;Stephen S. Hale;bullecosociamer.93.3.223,20168373,20168402
DLeq5UkAAAAJ;Margaret J. Couvillon;23479471,41414741
4UBrLnkAAAAJ;Fernando  Hiraldo;4601576,30245151,4601327,10.2307/177076,10.2307/1521813,2387551,10.2307/1521404,10.2307/3071887,41058134,10.2307/2404191,20065853,10.2307/2845222,10.2307/2404688,4539247,10.2307/3676172,10.1086/661236,10.2307/3676191,40310097,10.2307/3676448
OVcYkjsAAAAJ;Daniel Olago;4315838
701H0KUAAAAJ;Michael  Marshall;4315838
lzefJbIAAAAJ;Shem O. Wandiga;4315838
sMeGYpMAAAAJ;Rebecca E. Irwin;27733422,27896224,4125472,30034123,4123717,27733371,43576233,43494861,3449994,23441608,3450810,3107903,3450570,27650865,3599444,40305565,40305717,41487341,4222146,41499871,40213141,4223452,3548311,4222117,4223070
ypgtbgYAAAAJ;Mariana  Mondragón-Palomino;43576318,43578267
qptU6NIAAAAJ;Günter  Theißen;43576318,43578260,24037521,23390654
bnkdMOgAAAAJ;Richard Kinkead;3883935
pSfZ6CAAAAAJ;Shrikant  Patil;23359705
4VhCWYMAAAAJ;Shrikant  Patil;23359705
ny8luaoAAAAJ;Amit  Sarkar;23359705
cY3vFs8AAAAJ;Hema  Naik;23359705
AJxrOg8AAAAJ;Jorge E. Corredor;1469641,2474899
hybHuxYAAAAJ;Richard G. Harrison;2096904,2097263,10.2307/2408360,10.2307/2407463,27743455,10.2307/2408333,10.2307/2410101,24032807,10.2307/2408099,41240757,10.2307/2409218,10.2307/1939459,23328273,10.2307/1939458,27920064,10.2307/2411122,40234915
0vkk5e4AAAAJ;Zafar A. Reshi;20640702,41809940,mounresedeve.31.4.380
WSU52bEAAAAJ;Mélanie  Raimonet;24715206
VDs7JwcAAAAJ;Xavier  Philippon;24715206
tBGt9_IAAAAJ;Jussi T. Eronen;23737088,27784014,27670574
3Z9pgDAAAAAJ;Kai  Puolamäki;23737088
B_yXnh4AAAAJ;Hannes  Heikinheimo;23737088
-MjDWRgAAAAJ;Mikael  Fortelius;23737088,23735684,23736175,27784014,29783034,4524202,4523701,4522937,4096996,2400615
vzZk9jAAAAAJ;Gary  Lanigan;20500191
NLCdOdUAAAAJ;Mike  Perks;20500191
71wAEDkAAAAJ;Alberto  Burquez;2445994,10.2307/2388358,10.2307/2410119,2387457
gGOHYTYAAAAJ;Matthew Scott Luskin;40645592
JIpHuOkAAAAJ;Pierre-Paul  Bitton;40295184
PTIxvnMAAAAJ;Angelika  Poesel;41414072,40645503,4536423,23500406,3677594
dtJt6FIAAAAJ;Staffan  Andersson;4535898,25063849,4600360,4602232,4139363,40963503,10.2307/3677129,30245322
5CH2x_YAAAAJ;Nancy A. Moran;2097325,10.2307/2666130,10.2307/1941276,10.2307/1937374,10.2307/2409702,10.2307/2408762,25010079
6Gc-yI0AAAAJ;Ulf  Johanson;4314305,4314735,4223393,10.2307/3546223,20051077
a6XU-6kAAAAJ;Philip A. Stansly;10.2307/2388286
dosMt1QAAAAJ;Todd M. Freeberg;25063519
ndMxBoIAAAAJ;Kalevi  Salonen;23725045,23725034,23726046,3682653,4217828
LNoS1KsAAAAJ;Nina  Peuhkuri;4601294,4601525,4601680,23735581,23735582,10.2307/3546353,3547868
m2E7DGEAAAAJ;Scott E. Fraser;3883123
4gVldgsAAAAJ;Juha  Lemmetyinen;23737173
wL7AtZAAAAAJ;Jos  Barlow;30045479,40863775,40419700,10.1086/681541,25562618,27751644,20144042,24017350
PaXMbecAAAAJ;Stefan  Forster;1469510,24857214,24857176,24857293
pGehLgsAAAAJ;Markus  Huettel;1469510,1469879,24866066,24870692,24870166,24871807,24867431,24857214,24867426,24857176,24868038,24869015,24869674,24867589,24857293,24867115,24875248
LjInkHoAAAAJ;Agustín Camacho Guerrero;40645556
_cnGhzAAAAAJ;Pedro Luís Bernardo da Rocha;40645556
RigUUSoAAAAJ;Annika  Paukner;23254827
Vx_5bU0AAAAJ;Ellen  Andresen;30045495,3683529,40665273,3068793,2559953,27696435,40006410
B7XYfp4AAAAJ;Diego R. Pérez-Salicrup;10.2307/2679867,4092173,4222720
rtkKU08AAAAJ;Tiiu  Kull;43519486,27733404,25547810,25134142,4621383,3599448,2648646,40802420,43491880
ERlTMFsAAAAJ;Kenji  Suetsugu;23728062,23656058
pr_JvJcAAAAJ;Scott  Pitnick;4600897,41240854,2640599,10.2307/2409929,10.2307/2411158,4095357,41503468,24032692,3449220
5wirA5UAAAAJ;Bram Orobio de Castro;40295895
l5UcSXkAAAAJ;Jeffrey K. Conner;2446180,43576243,3558401,27733177,2446096,30134266,29783027,23262074,10.2307/2410654,3094760,3094663,23273873,2640749,3449986,2475171,4221261,4221215,4221706,4221098,20445923,4221100
zxWjMn8AAAAJ;Robert R. Twilley;1469653,1469641,10.2307/2265744,10.2307/176898,41505942,10.2307/2997700,43215751,4494244,25736617,2648613,10.2307/3566045,4221666,24855067,24857179
vcBESyoAAAAJ;Ming  Kang;23728193,20172036,27743550
-FMUChEAAAAJ;Colleen Cassady St. Clair;30033835,4600770,3588872,4543373,3505882,10.2307/5783,25623151,24875104,3548100,10.2307/3545935,10.1086/671165
jSdi-YIAAAAJ;Chris  Simon;30033843,10.2307/2408379,10.2307/2409072,10.2307/3071937,10.2307/2408783,3094726,25009331,3554708,25010499,20488398
jeKv7cIAAAAJ;Thomas R. Buckley;30033843,41503487,25654286,3554708,25654287
8fXo4UUAAAAJ;Francesco  Frati;30033843,43187888,27743584
EAizE6wAAAAJ;James B. Stewart;30033843
QJMf9r8AAAAJ;David N. Cole;10.2307/2269388,43440850,10.2307/2269562,10.2307/2404430,10.2307/4003913,10.2307/2402937,10.2307/2404429
bOsTTDQAAAAJ;Robert A. Washington-Allen;bullecosociamer.88.2.219,43289865
JKE5jyEAAAAJ;Sara  Magrini;23250771,40983173
gIj6ipUAAAAJ;Koji  Fujita;41240400,10.2307/1552503,41240422,23359391
CsIzTIMAAAAJ;Tony  Svejcar;2474810,40792950,10.2307/4003914,10.2307/3899706,10.2307/3899100,10.2307/3899083,3237226,10.2307/4003863,10.2307/3898644
BkXokq0AAAAJ;James P. Higham;23360166,23500427,23500425,23034213,23500432,25799791,20446029
emfCqiIAAAAJ;Lyanne  Brouwer;20799568,25063261,27651036,40835690,30243845
RkoeW7IAAAAJ;David S. Richardson;20799568,4601961,4601691,4627090,25161532,30243845,4125073
NImmIQ0AAAAJ;Jarle W. Bjerke;23727170,23253252,20146853
PcjpRBAAAAAJ;Miloš  Krist;25063664,25511650,4540083,40005577
TQUTOpcAAAAJ;Bruce  Anderson;4126097,4124120,43578060,3449346,40210657,3547875
hy61PwkAAAAJ;Johan T. du Toit;4314277,40296081,4315497,2097269,3682869,4134717,4092044,25562619,41480358,27695938
NLfN7Q4AAAAJ;Martha R. Weiss;2445525,10.2307/2389064
bAvvBfQAAAAJ;Henry Vallius;4315122,4315699
UnanbAUAAAAJ;Kai  Jensen;1478884,4620487,25133782,41245532,41058857,20051121
RPOk7DcAAAAJ;Timothy M. Evans;2444435
1e6hjjkAAAAJ;Mathieu  Sebilo;1469737,20519788,25470361
