CnE8YNEAAAAJ;Witness  Mojeremane;25652621
-WhXyNMAAAAJ;Xiaodong  Chen;24708861,41417278,20183473,40061894
4CE6cToAAAAJ;M. Nils Peterson;24708861,20183473,3591366,3591066,3591083
2TJfBOgAAAAJ;Vanessa  Hull;24708861,41508697
WDvnXtUjJVgC;Jianguo  Liu;24708861,25547831,41417278,2641845,40061669,20183473,10.2307/1942046,2641959,40061894,3877725,20696463,20183393,10.2307/1941773,40061895,3591083,10.2307/2641178,10.2307/1942048,43582523,20870201,41508697
Q8pTO_cAAAAJ;Jianguo  Liu;24708861,20183473,3591083,43582523,41508697
SvzE8sgAAAAJ;Guarino Rinaldi Colli;1448670,1566053,43287379,40210854
3j3HAJMAAAAJ;Kenneth M. Brown;10.1899/12-137.1,10.2307/1938959,10.2307/2407631,10.2307/2408371,10.2307/1467846,23016669,20491158,20491160,10.2307/1468143,24847641,4216479,4220744,4217595,4218591
XCH4AZwAAAAJ;Alejandro G. Farji-Brener;4132909,bullecosociamer.95.3.238,bullecosociamer.88.1.18,4092009,25562622,23500419,newphytologist.198.1.252,40606655,40212974
1hEU4nEAAAAJ;Karlo Hock;4536347
AlyEx-IAAAAJ;Clinton N. Jenkins;10.2307/3298581,41242809,3591217,20183485,43494490
hxmTYsIAAAAJ;Sonia I. Mariño;23726762
IzF1keQAAAAJ;Thomas  Dresselhaus;43578592,24038600,4282073,4281640,23386208
dG604wQAAAAJ;Donald H. Feener Jr.;4600370,4601078,10.2307/2388304,2389134,3883079,25084947,25084159,4221965,4222074,4223460,3547111,30156211,41499938,30163737
xRkRmTgAAAAJ;Les  Firbank;4315111
e7Yc8WuPcBsC;Hans  Kerp;2446440,2446290,20144243,10.1086/660188,10.2307/3514861,2400741
tVDt_i0AAAAJ;ANDRE  CHARRIER;42758975
Aww8Ka0AAAAJ;Ivana  Stehlik;1552373,4123701,4122755,2648449
2XiLJtkAAAAJ;Giuseppe  Donati;27823501
YnDAdF0AAAAJ;Melinda D. Smith;3558453,25652634,10.2307/3868337,20440555,43494965,25660976,23436307,43494493,40296387,23028851,27754384,40305545,3548110,23267388,41487346
Uq0PJTgAAAAJ;Félix  Llamas;23726828
hrLyi7gAAAAJ;Ryo  Yamamoto;43576636
6p-wRswAAAAJ;Anna  Kärkönen;23726644,23389290
9c7hsEYAAAAJ;Kaspar  Delhey;25511649,41414725,41499807
DXKpyfUAAAAJ;Julian C. Partridge;4536410,20640503,40296048
2ApyHP8AAAAJ;Ernesto  Vega;2657000,2657001,20146675
IIsCR74AAAAJ;William D. Stock;4123933,40296271,40346297,40540338,41686344,20146484
rRkAcIkAAAAJ;David A. Orwig;42954554,10.2307/2996880,3879164,10.2307/3060900,40062221,43188379,10.2307/3868635,27646152,827561,827564,827563,10.2307/2261198,827562,827565,4130984
NDw9_fgAAAAJ;William  Nuttle;bullecosociamer.85.1.23
LAfBfZsAAAAJ;Piers  Chapman;bullecosociamer.85.1.23
3ndiHe4AAAAJ;Henri  Weimerskirch;bullecosociamer.96.4.664,25511619,25511637,4601038,3450688,3450663,10.2307/177428,10.2307/1941698,10.2307/2265944,3505634,20869919,10.2307/5546,41058791,3677691,10.2307/3677067,10.2307/3677126,2693469,3505686,2647364,4220925,20062549,10.2307/3565767,24034390,4222800,30160582,24855595,4222528,30160132,3548170,24830487,10.2307/3545162,40310170,24875626,24853328,24869694,24827796,24863789,24857707,24855084,24855669,10.2307/3676559,24867979,27759733,3548796
qaxS2P8AAAAJ;Jolyon J. Faria;40295532
mhS-mVUAAAAJ;Simon  Pierce;3558444,4124708,3548553,40802520,40305741,40606974
nkSpc_gAAAAJ;Howard  Griffiths;3558444,30045457,23697415,24037922,4277650,23384899,4217155,43191527,40213180,4278920,4221228,40066325,23387376,4217763,4277653,20445944
QB8PhtoAAAAJ;Okihito  Yano;27857354
ID85SBYAAAAJ;Claudia  Barelli;40295873
q2FCkWoAAAAJ;Ulrich H. Reichard;40295873,41414714
gVneht4AAAAJ;Kyle A. Funk;bullecosociamer.95.4.462
F5haOToAAAAJ;José Eduardo Meireles;30218812
pkGGfEcAAAAJ;Kam-biu  Liu;43290963,23486564,43290970,3566220
PLX4e6oAAAAJ;Matthew K. Chew;bullecosociamer.90.1.142
CuBM0XUAAAAJ;Nico  Stehr;4314552
QRC4p8EAAAAJ;Marc  Bogonovich;43185834,30141613
iNGZb48AAAAJ;Scott  Robeson;43185834
3rEoP94AAAAJ;Alejandra  Vasco;40648181,10.1086/662071
Sz229EkAAAAJ;Ching-I. Peng;2445790
6KUUPo0AAAAJ;Koenraad  Muylaert;20794606,40343743
jbxlYe8AAAAJ;Wim  Vyverman;20794606,27651322,27754298,40066273,40235252,40235440
9SirXTQAAAAJ;Leyi  Wang;40601075
ixlQuqUAAAAJ;Mervi M. Seppänen;43578323,24131025,42952503
TIqe2cwAAAAJ;Arja  Santanen;43578323
t-CrsVEAAAAJ;Perttu  Virkajärvi;43578323
J-j8MoAAAAAJ; Kristofer Döös ;4315492,4315491,4315766
VaMn2lcAAAAJ;Siamak  Zohari;40801722,40601104
x5Qak0YAAAAJ;Karl  Ståhl;40801722
RBVYTq4AAAAJ;Sébastien  Gogo;41490506
kyRhUfIAAAAJ;Frédéric  Delarue;41490506
ZbTbkIsAAAAJ;Elnatan Bezerra de Souza;3218378,3393307
pCaesIEAAAAJ;Richard D. Stevens;10.2307/1547232,30045462,10.2307/2680034,4539220,3554717,23260102,1383789,10.2307/1383309,23259847,3547332,3548556,20146966,3546394,40310079
6MWiGZMAAAAJ;Susanna  Venn;23252811
dCMtRCIAAAAJ;Suzanne  Currie;23479483,10.1086/676831,10.1086/676935
lE7IDOMAAAAJ;Tomáš  Urfus;43578550,20488362,23656018
038tAhkAAAAJ;Subir Bera;4496871
E5xLyQUAAAAJ;Charles R. Warren;10.2307/1552233,10.2307/1551915,10.2307/1551532
Or2DEe0AAAAJ;Luigi  Ledda;43576221
bTlXO18AAAAJ;Heidi  Asbjornsen;bullecosociamer.92.2.218,4256989,27695939,42947906,42939849
Ea8oYRgAAAAJ;Scott A. Drzyzga;bullecosociamer.92.2.218,4493647
Lfmhbd8AAAAJ;Robert Gilmore Pontius Jr.;bullecosociamer.92.2.218
rKkBdxkAAAAJ;Nicholas J. Reo;bullecosociamer.92.2.218
qAeVtqwAAAAJ;David  Sailor;bullecosociamer.92.2.218
Wg19meQAAAAJ;Lyndon  DeVantier;4315459
6W4PoJoAAAAJ;Mathew Kurian;4314666
2lv3lPsAAAAJ;Eric  Tepe;3558381
ZzsWOFgAAAAJ;Per  Lundberg;4599821,23734640,23735484,23735640,3061675,10.2307/1941107,10.2307/4952,10.2307/5173,10.2307/5107,24866090,41489784,3547654,3548193,10.2307/3546852,3548242,24863881,10.2307/3545229,3547112,10.2307/3676748,10.2307/3546850,10.2307/3545317,40235326,3547740,10.2307/3544834,10.2307/3546456,10.2307/3546810,10.2307/3546150,40234796,4217740,10.2307/3546241,3547643,10.2307/3675946,10.2307/3546781
IrJh2P4AAAAJ;Craig  Tovey;4536087
Rqf-GcEAAAAJ;Matthias  Schleuning;20492529,29738703,41059086,20143550,41413946,23434366
46Qo7nIAAAAJ;Thomas  Becker;41245484,23064973,41059086
bq7LtBEAAAAJ;Walter  Durka;27975386,23047064,3449418,3246738,3683590,23012429,4092815,41059086,4094529,40405777,43558187,23656137,23659856,41686748,40309729,23673199,40606616
lXhKkcAAAAAJ;Markus  Fischer;2446466,2656649,2446416,4131322,25660977,43494871,23047064,3682977,10.2307/2680154,3094659,3683170,23435993,2640538,3450853,3505724,2648545,41058244,3072286,3879586,4539277,20528867,3547398,25164205,40309764,3548802,10.2307/3546488,23434822,40926686,23434351,24033486,40235545
5TzRfk4AAAAJ;Diethart  Matthies;2446466,20492529,2446416,4122170,3682977,41739289,29738703,2648545,2648595,3072286,41059086,20143550,10.2307/2261563,2648482,23673117,10.2307/3546328,4219303,3548284,20062240,41500015,10.2307/3546288,20062494,41508686
c5Ayl6UAAAAJ;Per  Åberg;25515808,bullecosociamer.87.2.112,10.2307/1940691,10.2307/3071898,20069058,3838388,20062143,24853359,24858802,24858360,24844623,24857143
5wQGOk4AAAAJ;Jasper van Belle;4620478
HHgo25cAAAAJ;Paul P. Schot;4620478
GWyr-pgAAAAJ;Harini  Nagendra;4315387,25547912,41242785,2655895
8PfC9EUAAAAJ;Carel ten Cate;4602063,20640505,10.2307/2409020
RK-MOXMAAAAJ;Diane S. Srivastava;30033805,20168268,27650707,23225239,3450956,40603650,10.2307/2261697,10.2307/2261595,3547439,20062406,3547301,40235265,40235482
BKy5XSIAAAAJ;Mark  Vellend;30033805,20068974,20440874,3450510,3107924,20068944,20143963,3566424,40540175,40235498,40006409
YThey14AAAAJ;Peter C. Wainwright;3884500,30033865,3883566,3449081,10.2307/2265531,10.2307/1941012,40863394,10.2307/1446758,4098708,40306233,41240813,4134818,4095395,23463871,3449082,10.2307/2411123,4485794,3884680,40931229,4219935,4220962
w1pi8v4AAAAJ;David  Carrasco;40792935
uqegNwQAAAAJ;Curt M. Pueschel;2442960,4123668
FdQpCkcAAAAJ;Pascal  Vittoz;40305843,20181782,30244648,25173244,4499241,40926913
ZsKNgg4AAAAJ;J. William O. Ballard;30033819,23273923,29783023,2640664,3061591
WZUJGbsAAAAJ;David M. Rand;30033819,20069307,40863384,10.2307/2409218,2386886,3448782,3094640,10.2307/2640926,27650896,3885012
36xmg1AAAAAJ;Walter  Dodds;20168314,20440885
-PWYRzIAAAAJ;Gretchen E. Hofmann;27896217,bullecosociamer.88.1.40,3884399,27646057,3885010,3885011,4485793,24873711,24872926
TLEvRpkAAAAJ;James P. Barry;27896217,25661140,24874437,24865410,24872090,24872940,24870912,24873616
v3koiSoAAAAJ;David A. Hutchins;27896217,24870751,24855011,24872128,24866548,24866578
ctLYr54AAAAJ;Mary A. Sewell;27896217,10.2307/1938736,24873711,24857251,24849685
0sYJEnUAAAAJ;Craig  Loehle;20167035,20166604,20166578,10.2307/1943184,10.2307/2269483,10.2307/1940978,10.2307/1938651,10.2307/1941192,10.2307/2845335,3838476,2846146,10.2307/3565812,10.2307/3546253,10.2307/3565750,10.2307/3566027,41300876,10.2307/3565367,10.2307/3545432
gVwJZpAAAAAJ;Stephen A. Smith;41149433,41149192,25086376,40305893
En0tH-YAAAAJ;Stephen A. Smith;4295643
47RNZ3MAAAAJ;David C. Tank;41149433,27733530,20788743,27793049
I89XmKsAAAAJ;Michael J. Moore;41149433,4131374,27793078,40982875,40982872,IJPS40927
_g09pvUAAAAJ;Maribeth  Latvis;41149433,27793078,IJPS40927
Qt2XdDwAAAAJ;Sunny  Crawley;41149433,20533046
PapNDRoAAAAJ;Diaga  Diouf;41149433
L9MNZEQAAAAJ;Catherine A. Rushworth;41149433,23259418
eq_v01gAAAAJ;Sindre Langaas;4315742
b6HFfgwAAAAJ;Luz  Boyero;25063712,27742825,25063351,3591164,10.1086/681525,10.1086/681093,10.1899/11-103.1,23034860,4499089,4091887,40792506,40792498,40792497
8Raxko8AAAAJ;Reiner  Finkeldey;2663950,20794653,43558206,23656083
TRybQPAAAAAJ;Sébastien  Lamontagne;20055166,1469308,25652590
aTVgKhAAAAAJ;Andrew L. Herczeg;20055166,1468667
Yu2uDRkAAAAJ;George F. Vance;1468941,1468852
JWHwK1AAAAAJ;Emmanuel  de Langre;41923039
0m1KY1EAAAAJ;Jennifer K. Martin;4536523,20172012,27696421,4539327,40213072
REu_D_cAAAAJ;Jennifer K. Martin;4536523,20172012,27696421,4539327,40213072
bUpbVHkAAAAJ;Graeme  Coulson;4536523,10.2307/1383227,20096632,4094463,4539327,3547180
qX35St4AAAAJ;Jennifer L. Williams;3558401,25661186,41739258,27754376,40309608
VmMKlnoAAAAJ;Krzysztof  Schmidt;40405775
n58H5HwAAAAJ;Maaike Y. Bader;20181707,20181791,41240413,40205554,40212921
QhTjLDgAAAAJ;Max  Rietkerk;20181707,20181791,40296305,27860799,25053876,3107889,10.2307/4002292,27754315,40305591,40234860,40305789,24121000,20050943,10.2307/3546592,40212921
Ter9aGoAAAAJ;Zuzana  Münzbergová;4125532,27975349,23486789,3450503,23264878,24571980,4201442,27651186,3505862,3599384,23660116,40234957,20062381,40309605
G3Dw8iwAAAAJ;Yuka  Kawai;40962400
oELwuy8AAAAJ;Louis-Felix  Bersier;3505640
JFmZEsIAAAAJ;Jessica  Purcell;41414756,23463867
pDnDmjgAAAAJ;Timothée  Brütsch;41414756
vgxVE1kAAAAJ;Catherine A. Pfister;bullecosociamer.86.4.282,10.2307/2269573,27651503,3107904,43493907,3061271,25592852,27651282,10.2307/2265795,10.2307/2680121,23597358,3450694,10.2307/1939849,10.2307/1940012,3505354,3838367,24857889,4221906,4218748
mEfmVgMAAAAJ;Isabel  Reche;1469402,41410585,1469666,3659062,3450614,27651087,40802180,25256183
feIPc14AAAAJ;Teppo  Vehanen;23735517,41416630
3t5kgUoAAAAJ;Indra K. Vasil;2474760,2445951,2443193,2444301,2442832,2443607,2443105,2445528,2442820,20171540,4271182,4272030,4272556
0VkApQ0AAAAJ;Sinead  English;40295475
gditnZYAAAAJ;David  Robinson;23696131,42951195,42949837,42947894,42946559,24125447
izDLWEcAAAAJ;David  Canal;23034265,41414712
OMhAypcAAAAJ;Jaime  Potti;41414712,23735662,4601670,23735756,3683332,10.2307/2640940,3677374,10.2307/3676970,30245197,3682574,4222352,4220821,10.2307/3676681,10.2307/3545730,10.2307/3546900
ndg3PKEAAAAJ;Peter  Rogers;20095909
GxTsOMUAAAAJ;Kasper  Thorup;23322233,25741249,40863359,3677699,40863357,30243823,3838604,40210639
6KcPHw8AAAAJ;John H. Doonan;43578222,43578229,24038997,24036964,4279195,23388678,4279988,4629927,23381630
pCVUadoAAAAJ;Juan  Segura;4124154,4126118,3558349,4292943,40537793,25680785,20205982
Jo-LOvUAAAAJ;Aydeé  Cornejo;27742825,10.1086/681093
xSfuCggAAAAJ;Richard G. Pearson;27742825,10.1086/674632,10.1086/681525,10.1086/681093,10.1899/11-103.1,10.1086/681303,10.1899/11-068.1,23034860,4499089,40792506,40792498,40792497
JpL_f2IAAAAJ;Eleanore T. Wurtzel;2807041,23695810,23696879,23274688,25680830,40537982,40065939,40065494,20205735,4356532,40538032
xDHr8LUAAAAJ;Mehmet  Sağıroğlu;23727880,23726819
REoHRWMAAAAJ;Fred  Sack;2442811,40537841
I741OU4AAAAJ;Andrew P. Beckerman;40295285,10.2307/2266134,10.2307/177169,27696392,40835569,2693539,3547758,3548598,3548341,40210901
2TriPWUAAAAJ;Rafael  Bello-Bedoy;43576711
2MkbMj8AAAAJ;Juan  Núñez-Farfán;43576711,30033871,2446532,3449343,3449344,25473441,20051149,10.2307/3565874,10.2307/3565308
hOy9u44AAAAJ;Kevin  Balkwill;4256325,4256324,10.2307/4003347,20443256,10.2307/4110286,20443295,10.2307/4118744,20406047
72Uc7Z4AAAAJ;David E. Gammon;40295898,4536421,23011224
MEspMVsAAAAJ;Alan  Cooper;24060842
wTL2KXgAAAAJ;Atle  Mysterud;24551613,41416449,20788174,1555767,3505268,2647157,23017049,3838429,20870008,20143211,3505592,40928264,40405914,2693495,3505732,27696411,27696404,20143301,3505455,40540162,40235629,40210688,20146782,24869864,40213244,4223227,20062258,40005390,4221870,20445793,41508814,40859849,4222896,3548722,40235470,40235235,4222674,4222665,20062452,4223595,40310116
j5cNKkcAAAAJ;Margaret  Carrel;41418379
R9pcKp4AAAAJ;Michael  Emch;41418379
nkhDfJwAAAAJ;Leila M. Shultz;2806095,2806310,2806493,2806253,2806780,2805836,41761554
-Nfkl2cAAAAJ;Aurelio Virgo;4221108
C-iYcwIAAAAJ;Lillemor Asplund;4314850,4315270
TfrQC2AAAAAJ;Andreas  Sjödin;25758676,40538023,20205647,41692854
HA_4nmUAAAAJ;Rodrigo  Hucke-Gaete;24875500
92DDflUAAAAJ;Victor Galaz;4315654,4315656
zZsuRrsAAAAJ;Johannes  Stökl;20700393
DC2mQAoAAAAJ;Eric W. Sanderson;30043630,20168466,27976485,3095278,3061400,3095291,3697651,25177065,20050875
ojrd884AAAAJ;Ladislav  Paule;43519149,43496782
RllC3asAAAAJ;Dušan  Gömöry;43519149,23727796,42568815,43496782,40305428,23669034
ymOVB0MAAAAJ;Christopher J. Murphy;10.2307/1590913,30134170,30130685,10.2307/27670954,20094973
uHpIq6MAAAAJ;Sara  Zeigler;29779624
K0F3VWsAAAAJ;Jonathan D. Ballou;3588985,29779624,2386104,2385787,2385949,20096144,20095285
-yU_r9QAAAAJ;Harald  Pauli;4095831,10.2307/1551968,24127917
p9ZouMcAAAAJ;Manuela Winkler;4095831,4092060
bubtUIkAAAAJ;Sergio  Ruiz-Halpern;40343537
TpFM1iYAAAAJ;James W. Fourqurean;40343537,1469799,41507776,3099912,3599427,24827276,10.2307/3546120,24871036,24844832,24873476,3547657
wFgO8YYAAAAJ;Simo Laakkonen;4315818
gHMInmMAAAAJ; Günter Köck ;4315759
aqqR418AAAAJ;Leif  Engqvist;25511631,23500496,24032808,23261917,23463802,10.2307/3546069
jgDk4akAAAAJ;Brian  Moss;10.2307/1934668,10.2307/2258386,10.2307/2258925,10.2307/2258698,10.2307/2258575,10.2307/2405017,3505762,10.2307/2258927,27696003,10.2307/2404025,3072315,40235255,4215411
LW8NdYUAAAAJ;Sebastian Aguirre;4099167
OkCA3zoAAAAJ;Susanna  Hietanen;41417399,4315805,23597376,24866502,25153404,24866133
1Vpm87MAAAAJ;Carlos  Alonso-Blanco;43578239,23262070,24038696,41435641,4281958,4281473,4279571,4281468
CRNW6XgAAAAJ;Carmen  Fenoll;43578239,43565271,4270909
31QyKwIAAAAJ;Curtis D. Holder;30043300,41508654
lv-gZY4AAAAJ;Michael  Domjan;3883735
V7qF1LgAAAAJ;Ge  Sun;41417342,20055165,41505998,41239258
ycmnookAAAAJ;Bojie  Fu;41417342,40234917
LVCGOfcAAAAJ;Guillermo  Seijo;43578370,27733374,43558593
kiQQEhMAAAAJ;Leslie A. Real;3884113,10.2307/2388072,23736908,10.2307/176780,10.2307/1936067,10.2307/1938384,10.2307/2265568,10.2307/1938910,10.2307/1941203,10.2307/3868442,10.2307/1938376,10.2307/2937183,4220344,4221794,10.2307/3565568
FZ350TUAAAAJ;Georgina V. Vergara;43575950,43575954
DFvpygwAAAAJ;Sigrid  Heuer;43575950,41435031
9lYJkMwAAAAJ;Marie  Vahter;4314534
5ljRgrwAAAAJ;Ingrid Oborn;4314534
5L57iz4AAAAJ;František  Sedláček;41414688
aTADbxwAAAAJ;Laurent  Dormont;23673225
gW68xaYAAAAJ;Martin  Giurfa;4535376,221712,4219856
5vV2CLkAAAAJ;Stephen  Heard;20167241
vDV4I80AAAAJ; Tamás Weidinger ;4314310
lW3PW74AAAAJ;József  Garay;41151152
ppx71KUAAAAJ;Marshall  Burke;25547827
3nZYetAAAAAJ;Ellen  McCullough;25547827
ijAYT08AAAAJ;Holger  Kreft;43576706,3683492,3566381,40929006
bovaaOgAAAAJ;Susanna  Lehvävirta;43576706,25488435,3236653,40305743
Q7JMxysAAAAJ;Marco  Pautasso;43576706,4620956,27645906,40310084
mq5umt8AAAAJ;Rodolfo  Salm;30044038
X_ovJR8AAAAJ;Markus  Wagner;23726882,25680405,3879546,40210542,24130308
XXCURpEAAAAJ;Ansgar  Kahmen;3683383,25680405,20069065,40005721,40210542,24130467,20062205
6uwdVY8AAAAJ;Francesco  Dessì-Fulgheri;4535715
QYHHdbEAAAAJ;Karen  O''Brien;4315686
qAPu7lYAAAAJ;Siri  Eriksen;4315686,3674436
4iBLCtMAAAAJ;Lars Otto Naess;4315686
ewqCldUAAAAJ;Krishna Prasad Pant;41510581
je-kp-cAAAAJ;Martin  Kavaliers;3883534,25063286,30155851,30158503
YoU7jkwAAAAJ;Robert M. Hubbard;20113131,4220865,4222729,4220806
StwSRS8AAAAJ;Michael G. Ryan;20167943,20055185,20113131,25680413,10.2307/1941808,41416626,3658985,10.2307/1941458,3658901,40603634,4493551,3658715,4539064,4220865,40005772,20445931,4222729,4220806,newphytologist.200.2.304
t6-c7HYAAAAJ;Nobuaki  Nagata;bullecosociamer.96.3.483
-Pdd_TwAAAAJ;Zi-Feng  Jiang;27742842
ZdMEXX4AAAAJ;Alessandra  Piccirillo;23322257
QIsW8_0AAAAJ;Paul J. Grote;2444939,2995235,20621983
KIVxIL4AAAAJ;Maurizio  Rossetto;4131334,27793030,3599518,41239408,20064846
ZlE39IQAAAAJ;Takashi  Saitoh;23735338,10.2307/176640,10.2307/176641,10.2307/4032,10.2307/5960,10.2307/1381711,25145108,23260130
AXPLZ_EAAAAJ;Dietmar  Zinner;4601997,4600995,2641694
eAAmZAIAAAAJ;Jana A. Eccard;27823577,41414675,25063821,23736870,23735894,25063829,4125095,3547846,40309658,41499975,3547789
1cQ4uyIAAAAJ;Ashraf M. El-Sayed;4536266,40407697
cZOKvi8AAAAJ;Bradley  Eyre;4298375,40309791
da2d9kwAAAAJ;Pamela J. Ferro;23322212,23322235
B_6fJ3UAAAAJ;Ronny  Lauerwald;24715364
_CIyatMAAAAJ;Jens  Hartmann;24715364
XhOiS-IAAAAJ;Nils  Moosdorf;24715364
tXO-dmYAAAAJ;Hans H. Dürr;24715364
LbjlCvsAAAAJ;Erik A. Hobbie;40343525,24715111,41410565,20068977,40407725,4222402,41151429,newphytologist.196.2.367,24124172,4222248,24129850
SfWhUQEAAAAJ;Charles  Mitter;3883818,10.2307/2407645
CqTonRwAAAAJ;Alessandro  Tagliabue;23359717
aOT5khgAAAAJ;Laurent  Bopp;23359717
NjQPo80AAAAJ;Louis  Prieur;23359717
F_x4aewAAAAJ;Julia  Uitz;23359717
wuZlpXoAAAAJ;Hubert  Loisel;23359717
pyxyptoAAAAJ;Claudia  Pahl-Wostl;41417312,10.2307/3546817,10.2307/3545220,10.2307/3545354
Uc8b1bAAAAAJ;Christer  Nilsson;41417312,4354302,4315719,40730886,10.2307/3072023,4543384,10.2307/1938414,25053875,3658638,20532066,10.2307/3060990,25053840,3683486,3658946,40061845,23501467,2386245,30243139,10.2307/177165,25592591,20787451,20440816,3237356,10.2307/2404220,3236607,10.2307/2404808,3566296,4123833,2656011,10.2307/2845689,3599683,10.2307/2260430,3236309,3682155,10.2307/2844743,3235813,10.2307/2261296,10.2307/2261226,3237000,27695962,40606948
LtjhLZAAAAAJ;Joyeeta  Gupta;41417312
QBgylXoAAAAJ;Klement  Tockner;41417312,40800615,10.2307/1552602,25053873,40792954,3658883,10.2307/3868587,41480053,40296327,3658688,25660989,20491178,4095642,20144043,4095549,10.2307/2997746,1467976,20445849,40864586
szVQb74AAAAJ;Martha K. McClintock;3882725,4534952,4600464,4533921,4600769
Dv3NONYAAAAJ;Sergi  Munné-Bosch;43576366,24038692,24037718,42568921,23388259,41942661,4279732,4356646,41429367,23389590,43191497,43564332
3CTBsVkAAAAJ;Michael T. Clegg;3883007,10.2307/2399849,10.2307/2407937,10.2307/2408781,10.2307/2408391,10.2307/2409569,4281588
T_RtOaQAAAAJ;Mark W. Moffett;10.2307/2388583,30045425,10.2307/2387866
oFIhDj4AAAAJ;Takahiro  Murakami;4601811
b-55HE4AAAAJ;Susan B. McRae;4601716,4601180,4600855,10.2307/6017,10.2307/3677262
d5SjfnAAAAAJ;Takashi T. Makino;25063429,25063573
WMb01f8AAAAJ;Gregory J. Robertson;4601519,30244819,10.2307/3677034,4223387,44145282,27744589,3858466,10.2307/3858474
6377Fw8AAAAJ;Gad  Perry;2388890,20183342,4126501,10.2307/3071771,20183460,3068650,10.2307/2997683,4092954,10.2307/1565371
hOvkkbgAAAAJ;Mary Beth Adams;1469295,25661027,23596739,24131002
F7HeFSsAAAAJ;Mary Beth Adams;1469295,25661027,24131002
KL8BeLIAAAAJ;Markus  Hofmeyr;23736148,41262573
IrPitBgAAAAJ;Mary Lou Guerinot;43576145,4280038,4277237,41942731,40538050,4279637,4281425
UdRPe_8AAAAJ;Antonio  Lanzirotti;43576145,41435466
DOItcW0AAAAJ;Lena Lidfors;4315610
RttURUsAAAAJ;Charlotte Berg;4315610
Rs3WFP0AAAAJ;Santosh Kumar Sarkar;4315335
9n1y2CwAAAAJ;Mikko  Kuussaari;23735507,3683804,2386873,10.2307/1941732,827528,10.2307/5677,40605839,20144108,4223784,40234953,10.2307/3546033,40310103,10.2307/3546980
ouIgYzsAAAAJ;Marko  Nieminen;23735507,23736745,3683324,10.2307/3071919,10.2307/1941732,2647368,2656282,10.2307/5677,10.2307/3546341,4221466,3547615
iCgJEF0AAAAJ;Andrea C. Gore;4534762
sm2ycEYAAAAJ;Karl  Hülber;43578116,43576371,27751659,40305462
9ykiSFkAAAAJ;Stefan  Dullinger;40930612,25562621,3566382,3236699,40666570
qE0NtNEAAAAJ;Brian G. Gall;25799785,41261844
45nfndQAAAAJ;Iain  Barber;4601765,40962478,40295943,4536214,4535332,3547463
XvzO488AAAAJ;Stephen A. Arnott;24855845,40213073,24866261
t8E1vrkAAAAJ;Carol L. Hotton;2444487,2995557
LJyWMfoAAAAJ;Silvio  Schueler;20794675
iAcBkZ0AAAAJ;Mirjam  Amcoff;40295592
pFcs3sYAAAAJ;Göran  Arnqvist;40295592,4601203,41510602,4602207,24033695,3449233,41460045,30140742,40963487,23328279,41239299,10.2307/2409746,4621299,23463769,3061633,24704040,41460044,41240802,3061524,3061658,10.2307/3565619
-g0bfm8AAAAJ;Niclas  Kolm;40295592,23270643,25063415,27651346,23273895,25150807,40306303,30243228,24033774
mTSBA3oAAAAJ;Tadeusz  Włostowski;23735549
juQDcN0AAAAJ;John M. Eadie;23596947,41480354,827302,23259726
ejUJ5N8AAAAJ;Anders  Forsman;23735474,23735542,27651505,3061573,4095365,41240842,41739610,10.2307/2410723,10.2307/1446770,3448742,40419192,27651666,23610412,10.2307/5458,10.2307/5385,10.2307/1564955,10.2307/1565167,10.2307/1564625,10.2307/3565396,40213122,4222667,4223095,4221469,10.2307/3544815
wJZsuVsAAAAJ;Francisco  Bozinovic;41316985,41414680,23736891,4601756,3449332,10.2307/1940843,3449231,10.2307/2265958,23463807,10.2307/1382371,10.2307/1383220,25145166,1383364,10.2307/1382072,27751750,10.2307/1383243,10.2307/1381762,27751749,1383754,27751748,4126863,1383659,1383440,10.2307/1382759,10.2307/1382369,10.2307/1381912,4094250,24872724,40005845,40235202,3547397,30161075,30163780,30152641,10.1086/658291,4219465,10.1086/662551,30160630,30158411,20051221,4218568,30158681,30162278,10.1086/660970,24871421,20062195,30158550
tBcNBvoAAAAJ;Piero  Calosi;41316985,23034882
z70pHHkAAAAJ;Leena  Myllys;23727942,23726581
QpdqskMAAAAJ;Mari  Källersjö;23727942,3080238,3691872,10.2307/3761505,10.2307/3761429,3393447
icwNiG4AAAAJ;Soili  Stenroos;23727942,23727917,23055167
5QGihiAAAAAJ;Joseph J. Landsberg;4313596
8rY9Tr8AAAAJ;Gaoming Jiang;4315733
5H_VfgQAAAAJ;Martin  Lascoux;4121709,4122177,10.2307/2411191,40065617,41435096
JCV10joAAAAJ;Anton  Pauw;30043133,3558351,4122791,25483578,27651293,23463839,41242832
EVaBxPAAAAAJ;Steven D. Allison;30043133,41490542,30043120,20519857,27860797,23436274,40296357,23035100
vmJOFn0AAAAJ;Scott A. Mangan;30043133,10.2307/1383257,1383411,2560043,40005627,4223294
74TkB2AAAAAJ;Susanne  Vetter;30043133
Z6axGFgAAAAJ;Rimvydas  Juškaitis;23736509,41487940
KxZB4XcAAAAJ;Martin  Sommerkorn;27651278,4223604,40213014
xTlC4DUAAAAJ;Norio  Nakatsuji;3882864
p8Iq3zAAAAAJ;Andrej  Pavlovič;43576443,43576663,24039559,23390601
fG3BvWsAAAAJ;Viktor  Demko;43576443,43576663,43191514,23390601
