a3THyK4AAAAJ;Sarah J. Spencer;40306089
qlQSTT8AAAAJ;Abdeslam  Mouihate;40306089
y52P-4gAAAAJ;John R. Coleman;3080020,4270852,4275891,4273384,23385225,40066056,4268936,4274702,4276029,4273373,4266268,4274748,4267184
qlSfVdAAAAAJ;Rita  Marullo;25010264,25010355,25010041
R7SPh8AAAAAJ;Frank H. McCormick;1468102
trOlRxkAAAAJ;Marcio  Alves-Ferreira;24039508
rVd_KZsAAAAJ;Fouad  Akad;24036572
-flEcMoAAAAJ;Vratislav  Peška;24040214
r4C3UMQAAAAJ;David J. Hughes;10.2307/3226999,24865398
a5_Ga0cAAAAJ;David  Bermudes;2559220,10.2307/3759900,10.2307/3760392,10.2307/3760252
5Ps8W1kAAAAJ;Adrian D. Hegeman;41058860,20205691
PlAm6wUAAAAJ;Ramon J. Batalla;09-096R
YhzUJpMAAAAJ;John D. Hayes;40931197
1xeY0S8AAAAJ;William E. Browne;4540223
iY6a0_QAAAAJ;V.  Ramaswamy;4300357,4297565
nx_bdy0AAAAJ;Maria Concetta de Pinto;24030683,4281677,23598894
KfWMOCgAAAAJ;Timothy M. Healy;41319642
XT_xNzwAAAAJ;Tala  Awada;23779722,23779968,23779635,23392119,23884133
MEd-wH0AAAAJ;Maurizio  Lambardi;20064941
GKadbc4AAAAJ;Carla  Benelli;20064941
cFSPMcYAAAAJ;Justin E. Lawrence;09-178R
eNhOL48AAAAJ;Jianming  Fu;24038423,23385838
pu9FzcgAAAAJ;David  Feeny;4602950
2FOz4y4AAAAJ;G.  Padmaja;20541053
qV8Po4QAAAAJ;Gholamreza  Hosseinyar;43215781
QGPRamwAAAAJ;Ingo  Ensminger;24031289,40066035
vzAiCBEAAAAJ;James E. Lyons;40213178
pogT-yUAAAAJ;Mercedes  Bustamante;23012410,40210877
1lMVu7MAAAAJ;Maurício E. Graipel;25172963
C_ZcsJcAAAAJ;Yosef  Shiloh;4292083
a1cmNacAAAAJ;Omar  Skalli;20171459
EIgEfqwDvtEC;Christa P.H. Mulder;24060716
6vh50SQAAAAJ;Emilia  Guisado-Pintado;43752433,43752405
uWiiNPIAAAAJ; Martin Flück ;4540185
ivjrtNcAAAAJ;Folco Giomi;4540185
xi-a1bQAAAAJ;Dursun Zafer Seker;43215766
ap00zMYAAAAJ;Yalcin  Yuksel;43215766
8POugjgAAAAJ;Hisayo  Yamane;24031305,41549937,41435520
Qzq-_k8AAAAJ;Ryutaro  Tao;24031305,24037460,41549937,41435520
9FV1v6gAAAAJ;Lee  Tarpley;2475308
FmnrMuoAAAAJ;Marguerite Butler;4540157
nehy2jQAAAAJ;Hafiz  Ahmed;3884776
GxApyqcAAAAJ;Gerardo R. Vasta;3884776
zrY0CjQAAAAJ;Julie C. Brodeur;41515017
JVUgeh8AAAAJ;Sonia  Soloneski;41515017
oh2GfIwAAAAJ;Marcelo L. Larramendy;41515017
1C6KyakAAAAJ; María José Leiva ;10.2307/4003431
HUwEZ6QAAAAJ;Wuyi  Wang;41434610
q9bgeZUAAAAJ;Sun Jae Kwon;24036083,23598895
kSS4nkYAAAAJ;Ji Hoon Ahn;24036083,23388912,4280964,4278138,41496275,41549890,4279182,4281911
KHaqskMAAAAJ;Ohkmae K. Park;24036083,41942802,23598895,25680635
zeyHNu8AAAAJ;Thomas  Giesecke;3554797,20143462,20528893,4125141
0UDnavUAAAAJ;Robert  Tropek;25623146
DCoH6uYAAAAJ;Lukas  Spitzer;25623146
WRCodbIAAAAJ;Petr  Kocarek;25623146
cMeKLmoAAAAJ;Sreenivas  Koka;20172257
YpF356sAAAAJ;Scott  Horn;27715175
ReFFG9MAAAAJ;Toyoki Kozai;4292926,4293592,4293555
TD1lPyYAAAAJ;Paul D. Lewis;40405774
3S2Lw9gAAAAJ;Yilma  Seleshi;10.2307/2845995
YnDAdF0AAAAJ;Melinda D.  Smith;3080055
-OPEnKcAAAAJ;Ruth  Halaban;4296100,4292830,4296012
QdXdLiAAAAAJ;Guillermo  Vázquez-Domínguez;25562606
2H9xJf8AAAAJ;Romeo A. Saldaña-Vázquez;25562606
_kAubhgAAAAJ;Jesús R. Hernández-Montero;25562606
HUUPac4AAAAJ;Laura J. May-Collado;25145214
ow1LZ5kAAAAJ;Katsuhiko Tanaka;4094140
jfvByhsAAAAJ;Daelyn A. Woolnough;41318757,20491155,41315931
kcW_8aEAAAAJ;Adam P. Young;40605487,4300288
H1cShbUAAAAJ;Jacques  Fantini;4294436,4294360
AZisUOMAAAAJ;Peter  Greenaway;1549783,1549931,10.2307/1548991,10.2307/1548812,10.2307/1548969,30163791,30158206,30158157,30155740,30163757,30155739
4vmkA20AAAAJ;Jan-Olaf  Meynecke;43752616,43752393
0ySnp-gAAAAJ;Kaj  Raunsgaard Pedersen;3079968
cjdZ_24AAAAJ;Priscila  Ortega;20869576
qTg8vSAAAAAJ;Ken  Matsuoka;23695675,40538020,40537665,4277778,4274987,25680896
uzC6p4YAAAAJ;Nora  Haenn;40603005,4603330
ptIN7AsAAAAJ;Rex  Harland;40072698,10.2307/1484986,3687330,3687349
Grs21RQAAAAJ;Pablo  Peláez-Campomanes;4094315,4094767,3697416,1307124,3697432
1HQGuJQAAAAJ;Endan  Suwandana;23259034
9LHIOd0AAAAJ;Kensuke  Kawamura;23259034
1DWa25AAAAAJ;Louis A. Gosselin;10.2307/5001,24859015,24857457,24857015,24855720,24858364,24855513,24873932,24859016
VXu85e4AAAAJ;Aaron T. Pearse;24875049
7Dk6NVwAAAAJ;Brian S. Dorr;24875049
wd4fN8cAAAAJ;Agnès  Pelletier;23259825
BCo8hAwAAAAJ;Susan L. Cutter;4299493
Wer5p90AAAAJ;Marvi  Teixeira;30138405
qAsqwOQAAAAJ;Keiko  Yonekura-Sakakibara;24040005,42568978,25680676
tdvy5EUAAAAJ;Françoise  Martz;23387839
sj348LkAAAAJ;Olle  Anderbrant;3682051,3682060,3682059,10.2307/3565226,10.2307/3565536,10.2307/3544911
vb_1PNQAAAAJ;Tahar  Taybi;24037431,24030509,24035898,40066021,23387376
eTN0Cf0AAAAJ;Sam T. Mugford;24037431,43191438
EUuzk_wAAAAJ;Michel  Rabinovitch;4291884
DtQehy8AAAAJ;Silvio  Salvi;24038856,24859852,24035805,24121101,41435686
8y1pwdYAAAAJ;Roberto  Tuberosa;24038856,24859852,24038973,24036478,24859853,24035805,24121101,40066046
YXrrvqIAAAAJ;Laura L. Ingwell;40732014,41810142
UQdXvVUAAAAJ;Ian C. Fuller;09-172
tx_YaPQAAAAJ;Ingrid Nesheim;4499239
AAlVX98AAAAJ;Wilson  Savino;4294057
8Pp5HhgAAAAJ;Erin R. Hotchkiss;40792504,40606662
e0Wx-j4AAAAJ;John W. King;23259027
-PlTzi0AAAAJ;Howard I. Browman;24866970,4219015,24869865,24855704,24855684,24867416
ghLlWJ0AAAAJ;Melinda Halassy;4096723
RSf6NFkAAAAJ;Giandiego Campetella;4096723
JjTD4hwAAAAJ;Roberto Canullo;4096723
2sPVsH0AAAAJ;Sheel  Bansal;40925472,23259723,41508713
bQVo0l0AAAAJ;Sheel  Bansal;40925472,23259723,41508713
leik1dQAAAAJ;S. Ramesh;4299341
kUgLZQIAAAAJ;Oriol Grau;4640656,mounresedeve.33.4.437
Yi8YSUQAAAAJ;David Bruce Conn;10.2307/3226842
YiIqV7UAAAAJ;Jamal  Balfas;43582436
FzUgg9AAAAAJ;Chi-Yun  Kuo;40060466
JPYFd3MAAAAJ;Guilhem  Mansion;40305895,23259340
1yXxMt8AAAAJ;Alessia  Guggisberg;40305895
tKHSxjEAAAAJ;M.  Bastianel;41998651,41998508
HsXu_ioAAAAJ;Eiji  Nambara;24036200,4279241,25680791,40537686,40066133,40065942,4273896,4629880,20205725,40537800,41943498
m5jkwXkAAAAJ;Niels  Bonde;4524254
u6sh5uoAAAAJ;Nour-Eddine Jalil;4523832
vPjAyDIAAAAJ;Chi Tam Nguyen;24039063
zQzi72kAAAAJ;Patrick  Armengaud;24039063,23388625,40538049
3azwVVcAAAAJ;Mathieu  Jossier;24039063
Wf5XvxsAAAAJ;Eugene  Diatloff;24039063,41435078
7WflTfIAAAAJ;Brenda T. Beerntsen;20096620
MMIzidIAAAAJ;Mark B. Goodwin;4523906,30126340,20627089,4523959,4524042,4524540,4096846
od4hT8gAAAAJ;Belinda  Phipson;24038439
k1z6axEAAAAJ;Gordon K. Smyth;24038439
tClaIyYAAAAJ;Kay  Van Damme;41058823
DLKPYCEAAAAJ;Florence  Auguy;4293663,24035734,4356668,24124013,4278922,24123882,40065583,41434336
Pb93gtYAAAAJ;Dragan  Kovačević;23696307
IuhidDAAAAAJ;Hans J. Herrmann;40065121
Q8IaD2wAAAAJ;Norman L. Guinasso Jr.;25736011
e8wgOdwAAAAJ;Lawrence  Hamilton;24707102
jAUPovkAAAAJ;Kate  Rawlinson;3505479
Z2iYqW4AAAAJ;Neil  Hutchinson;3505479,24866499
Td87L1QAAAAJ;Calixto M. Protacio;20064820,4274055
v_KM91IAAAAJ;Kyung-Hwan  Han;4293352,23697673,24036509,4279345,4281826,4281637
xXkJ0VEAAAAJ;Eugenio  Santiago-Valentin;41761954
6_gATJUAAAAJ; Ana Ivanović ;4498709
OKuQQXgAAAAJ;J.  Chris Pires;3691670
PQbyj6MAAAAJ;Peter G.  Wilson;3691670
-OixKmwAAAAJ;Doris A. Taylor;4296009
NfArf80AAAAJ;Andrew  Kulmatiski;3838467,24125452,23434646,40212989,4223458,20147012
Td3mgg8AAAAJ;Anne  Kemp;4524042,4524147,4523587
XmA2PQ4AAAAJ;Graham  Jenkin;10.2307/1565537
SxYY-kYAAAAJ;John  Orrock;1383908
HMfmmWIAAAAJ;Kevin  Koy;1383908
ZhzVMo8AAAAJ;Jan K. Schjoerring;23695337,24038729,4279259,42950737,42950948,newphytologist.198.4.1096,4281967
SVs4L-gAAAAJ;Ido  Filin;25473453,40310092
S6wvrZYAAAAJ; Björn Reineking ;4499258
LvFirmwAAAAJ;Shahid  Naseem;43893627
7dtKjKQAAAAJ;Zohar Pasternak;4540310
eku-lCwAAAAJ;Yair Achituv;4540310
OR9fq3g-vNQC;Jianming  Xu;20172166,4294983,4296882
iGZy96IAAAAJ;Jianming  Xu;20172166,4294983,4296882
fa0UcbMAAAAJ;Peyman Norouzi;4293809
8AnyWQ4AAAAJ;Katayoun Zamani;4293809
v0wo96EAAAAJ;Jianping  Yu;24036121
CXdvIS4AAAAJ;Lorena  Rebecchi;3227144,10.2307/3226985
rtEWWggAAAAJ;Tiziana  Altiero;3227144
z7GkkswAAAAJ;Roberto  Bertolani;3227144,10.2307/3227019
QnLSpRIAAAAJ;Juliana  Almeida;24039912
HB65COYAAAAJ;Leandro  Quadrana;24039912
XA2YfioAAAAJ;Magdalena  Rossi;24039912,43191077
VZrYwg4AAAAJ;William G. Meikle;3068769,3506004
NqOyrbsAAAAJ;Wei  Su;43432901
epIPXx8AAAAJ;Guy R. Larocque;3080076
tFfpmYYAAAAJ;Katya  Romoleroux;3599587,27765206
FIzWeRAAAAAJ;Kai  Lorenzen;24013720
DBqqWD4AAAAJ;J.S.  Pereira;23694851,23695724,23695730,24129059,42939869
jScrku4AAAAJ;Gurmukh Singh;4294656
u-HymVcAAAAJ;James C. Bull;20143314,41487938
sYhgYYQAAAAJ;Amarjit K. Nath;23695848
atZriD4AAAAJ;W.C.  Marques;25790494
BWEQTn8AAAAJ;Irene  Ruvalcaba-Ortega;27715232,40983801
sK33Ll0AAAAJ;Kamaruzaman  Sijam;24618863
Da8lUo4AAAAJ;Dzolkhifli  Omar;24618863
GCrpxP4AAAAJ;Anila Naz Soomro;40927852
FQ7vnvUAAAAJ;Marcia Regina Spies;20621946
Af7CuUIAAAAJ;Mirta  Tkalec;42568879
LYCNVicAAAAJ;Petra Peharec Štefanić;42568879
_Lr1ZVEAAAAJ;Sanda  Rončević;42568879
JTolMNQAAAAJ;Marijana  Krsnik-Rasol;42568879
Uk6sOIMAAAAJ;Geoff M. Hilton;3676928,10.2307/3546744,40005634
G7pi6lUAAAAJ;Leo  Sembiring;43290978
wieXoLkAAAAJ;Gundula  Winter;43290978
NdpBRSMAAAAJ;Duncan  Mitchell;10.2307/1565562,10.1086/652242
_HcAhq8AAAAJ;Rodrigo Augusto Santinelo Pereira;40212892
JcIhJB8AAAAJ;Yuki  Fujii;41408870
N41CFy0AAAAJ;Yasuhiro  Ozeki;41408870
PQ6c2SIAAAAJ;Simon  Barak;24038557,23883841,40065724,40065480
_Abmmy8AAAAJ;Ravi  Valluru;24037438,24037711
1xA-67IAAAAJ;Alfredo  Guéra;24030901,23390672,42568945
1cjgLKQAAAAJ;Kiva  Oken;41318986
pT4T7F4AAAAJ;Marcel  Zamocky;24037748,24037750
QhgsgygAAAAJ;Christian  Obinger;24037748
-itaR_8AAAAJ;Nanda  Dimitrov;23779483
xrGK2NYAAAAJ;Marisela  Pando-Moreno;41972446
ngUwZxsAAAAJ;Roger  Rosentreter;10.2307/1382514,24125635,42951791,41425554,41426159,20146949
wU0UPVkAAAAJ;Matej  Lexa;23695808,42949796
tC9U7vEAAAAJ;Joo-Hyung  Ryu;44177193,43290941,41315868
rFBGubQAAAAJ;Cristina Lombardo;4524398
j9dmt0IAAAAJ;Helene Krauthamer;4512653,4512578
MaBHbpUAAAAJ;Karin R. Bryan;43752576,43752581
8wNweSYAAAAJ;Derek  Gruar;3505961
_r2YvxAAAAAJ;John  Mallord;3505961
qdn4kqwAAAAJ;Annie  Zuiderwijk;25623106
UCQw0TAAAAAJ;Paul D. Ryan;30002225
n6b4PacAAAAJ;Bradley E. Carlson;43287357
06acSqgAAAAJ;Belinda J. Robson;25623051,4221349
vngLVUYAAAAJ;Hiroshi  Ezura;23695952,24039473,23386879,23384234,43563876,20205780
DsBUDHgAAAAJ; José Morillo ;4494203
_ihzuUsAAAAJ; José Usero ;4494203
-WN4QVQAAAAJ;Ulrich  Hopfer;4295515,4295695
D3Wp05oAAAAJ;Fabrina Bolzan Martins;42568797
qVZihSoAAAAJ;Ines  Alberico;23353615
nROP0NkAAAAJ;Ingrid  Seynave;20143403
TxeBcDsAAAAJ;Jorgelina  Franzese;41429066
aiOIDn0AAAAJ;Silvia  Farinati;24039664
XQummmwAAAAJ;David W. Mayhood;3682483
u3PfNkMAAAAJ;Paulo  Vieira;24039522,43564018
lUORmOQAAAAJ;Philippe  Castagnone-Sereno;24039522
a6cQl2kAAAAJ;Laurent  Torregrosa;24036899,24035862,24030661,23695497
yyBbLgUAAAAJ;Bert  Wouters;41509949
qlHxucgAAAAJ;Hugues  Lemonnier;43752633
VPr94t0AAAAJ;Stefano  Biffo;20869538
h7rpXdkAAAAJ;Patricia Marques Ferreira;27751762
sr8xf90AAAAJ;Andrea Micke Moreno;27751762
sa-ZUowAAAAJ;Renata  Paixão;27751762
Wwkjw38AAAAJ;Ernesto  Igartua;24039555,24369130
y3Ar2x4AAAAJ;Stokes S. Baker;2475249
AZzujP4AAAAJ;Iman  Borazjani;40931232
rfF1324AAAAJ;Fotis  Sotiropoulos;40931232,25737423
QBXXwh8AAAAJ;Andrew  Borrell;24036487
eZURLRYAAAAJ;David  Jordan;24036487
soJVm3oAAAAJ;Patricia  Klein;24036487,23384787
ECVtqiIAAAAJ;John  Mullet;24036487
tl1nKOYAAAAJ;Zhen-Ming  Ge;27639356
pYGWZN4AAAAJ;M. Meghan Miller;1305281
x5dB33oAAAAJ;Amitrajeet A. Batabyal;10.2307/4003257
A22zAGsAAAAJ;Thomas J. Baum;24038559,24037734,newphytologist.199.4.879,25680708,41496266,41434161,41435511
wdMNvzoAAAAJ;Matthew  Schmitz;27715197
9sD-bUkAAAAJ;B. Michael Walton;24634279,40792653,20062480,30163920,30163690
GXZ_fX8AAAAJ;Veronica  Coelho;41408869
M6i9SBkAAAAJ;Paul  Desjardins;4296276,4296348
doGCocMAAAAJ;Jair  Weschenfelder;30133725
qCRgHZ0AAAAJ;Claus  Rasmussen;25086183,40783244,25086244
vlLPfKAAAAAJ;Ian R. Henderson;24038795
hj8sOtkAAAAJ;Josué Martínez-de la Puente;25662903,3838407
OYEQ_HUAAAAJ;Liang Qiao;4294970,4295108
icW6QGMAAAAJ;David A. Day;4272870,4280522,4276216,4281576,4268079,4277729,23380521,4264487,4269807,4272187,4269408,4274408,4277200,4266914,4271301,4267621,23385415,4277237,23384258,4278366,4270230,43564710,4265537,4281430,4278488,4264688,4263727,40066268,4273483,4281879,4264796,4281771
vfIYq-AAAAAJ;A. Harvey Millar;40537797,4280522,41435077,4276216,4279981,newphytologist.198.1.103,4281576,41434001,4277729,40537687,4281357,40066057,40537666,4277200,41693988,40065679,23384258,4278366,43191747,4281607,4281091,40066311,newphytologist.200.3.922,4280969,43191081,20779825,4280241,4278488,20205919,4281896,40537770,25758664,40066268,41496307,4280909,25680691,25594947,4279692,40538092,4281771
MThlD8oAAAAJ;Frank  Ewert;24037913,4540682
dkSzoOAAAAAJ;Elisabeth  Simelton;24037913
fCeyiCcAAAAJ;Evan  Fraser;24037913
tO884n8AAAAJ; Torbjørn Haugaasen ;4092059
P984gS8AAAAJ;Ana Sofia Pires;20461559
1wjMKv0AAAAJ;Pedro  Fevereiro;20461559
JH6_DIIAAAAJ;Maya  Kummrow;41826546,40236573
lMnSjbwAAAAJ;Steven G. Fancy;10.2307/1381960,10.2307/1381720
ghkg0OoAAAAJ;Pierre  Sagnes;24030819
brQNUE0AAAAJ;Carolina Monteiro;4093015
ZWUoAsUAAAAJ;Patrick M. O''Grady;25010341
Kj2I3qAAAAAJ;Andrew J. Thompson;23696472,23696678,41435068,23379911,40065401,4629823,4278813
pytk9_sAAAAJ;Patrick  Fonti;20488318,24034417
diWt7boAAAAJ;Ignacio  García-González;20488318
CUS7cWwAAAAJ;Aveliina Helm;4496010,4499199
4fGxYCUAAAAJ;Triin Reitalu;4496010
RKA0sTIAAAAJ;Jean-Christophe  Castella;23353202
w3EhJBcAAAAJ;Guillaume  Lestrelin;23353202
2VcdqlUAAAAJ;Jeremy  Bourgoin;23353202
D7nk4kwAAAAJ;Yulia Rahma Fitriana;23353202
tyxgcIAAAAAJ;Jean-Laurent  Pfund;23353202
hQO6HrgAAAAJ;Douglas O. Fuller;2997883
l8M7hnoAAAAJ;Gabriella Pasqua;4293544
SzMHFCwAAAAJ;Linda  Kalof;24707060,24707023,24707033
j4pR7LkAAAAJ;David E. Anderson;20460530
7_OuAx4AAAAJ;David E. Anderson;20460530
HVgKJBMAAAAJ;Sonia  Osorio;41942691,41435620,43191421,25680884,43191444,25680880,40537661,43191267,23598715
RjKYuDIAAAAJ;Björn  Usadel;40065980,23388870,40537687,4629922,25680884,25680628,40065436,41943476,40065973,4281556,4280810
PLYKvE0AAAAJ;Heribert  Insam;2559638,24129969,40605770
2leAUiMAAAAJ;Lili  Wei;23434791
gNldU2AAAAAJ;Jun  Tang;25737436,25737439
v0fjKqEAAAAJ;Erin  Steiner;4498992
YFZq5LgAAAAJ;Luciano  Nakazato;41262587
Ys-NvgEAAAAJ;Bryan  Legare;44161435
whj5UtEAAAAJ;William  Salas;2997904
nYYnxYgAAAAJ;Enrico  Martinoia;24036052,24039142,4272586,4279590,4277267,41435602,4275150,40537636,23379459,4629992,23386470,23382925,24129575,23381499,23386112,40066067,23389631,4629734,43191766,23598641,4280983,20205658,4281374,20205733,4281601,23385686,23375087,40065622,23383421,23387241,4281822,23598706,4273883,40065880,23386014
KF4uSIIAAAAJ;Benjamin K. Barry;4540179
vwDhQtcAAAAJ;Anjen  Chenn;25160157
qSxC48wAAAAJ;Helena  Wirta;40925449
ugJTnYQAAAAJ;Olivier  Montreuil;40925449
8P3isKYAAAAJ;Steig  Johnson;40925449
OQBLPBsAAAAJ;Makarand Risbud;4295227
-LsOOccAAAAJ;Alan W. Hodges;10.2307/1381044
RklwJKUAAAAJ;Jan-Ake  Nilsson;10.2307/4852,10.2307/5101,10.2307/5680
-uZcdwwAAAAJ;Ilkka  Leinonen;24036496,24030492
sSTczv8AAAAJ;Paul F. Frame;1383949
gTMaXXEAAAAJ;Patrick H. Brown;23694297,24124493,4279536,4278673,42948090,4273506,4356687,42948085,23386223,24122652,42950743,24125567,42948166,42951344,42950933,4270996,42948087,4278592
_vfjBhoAAAAJ;Martin J. Austin;23353627
ZPQsKbMAAAAJ;G. Douglas Haffner;23016324
V74piJkAAAAJ;Allison  Bernett;25568928
daNeMZUAAAAJ;Rouven Schmidt;4125106
CNoa3WoAAAAJ;Bayarbaatar  Buuveibaatar;23488604,40540180
Ym3yuy4AAAAJ;Badamjav  Lkhagvasuren;23488604
2jPKB9QAAAAJ;Ashish  Srivastava;43229210
FzfPIt4AAAAJ;Alberto  Ferrarini;24037692,25680780,41942693,41433996,25758688
_nwfN_UAAAAJ;Mario  Pezzotti;24037692,25680780,25758688
tOVdBcIAAAAJ;Ugur Kagan Tekin;4094957,1486228
PdweaWcAAAAJ;Ales  Smetana;25009882
NeS7d8oAAAAJ;Miklós  Bálint;09-100
8-2FUR8AAAAJ;Marlon  Zortea;2559360
n8HsEUUAAAAJ;Chad L. Cross;10.2307/1565896
TCcGvYYAAAAJ;Ashutosh  Sarker;40343958
kr1m6iQAAAAJ;Helen  Ross;40343958
0m6gHUMAAAAJ;Luigi  Tosi;41510814,43843036
lm00luAAAAAJ;Pietro  Teatini;41510814,43843036
yaSDAn0AAAAJ;Charles C.  Davis;3691658
PnqrMGAAAAAJ;Jamie J.  Cannone;3691658
