Lb_OSsMAAAAJ;Clément  Stahl;40963550,40665277,24034382
vAWvLXYAAAAJ;Elodie A. Courtois;40963550,27754357
FdCgdS4AAAAJ;Cristian  de Sales Dambros;43495190
Kw5aM74AAAAJ;William  Harcombe;40793104
KZrdX9QAAAAJ;Erik Nelson;4543446
twfglOgAAAAJ;Eric Lonsdorf;4543446
H1ZRWo8AAAAJ;Rémy  Rochette;20107811,3548287,24844815
VKGfQFgAAAAJ;Sean E. Walker;10.2307/177498,10.2307/1565183,40234863,41425863,41425796
DJRhzzYAAAAJ;Nils  Hasler;25592708
WbCnqjIAAAAJ;Reinhard  Klette;25592708
qq3TxtcAAAAJ;Bodo  Rosenhahn;25592708
NyOp8-cAAAAJ;Elisabeth  Howells;24321785
weiNZA8AAAAJ;Greg  Bankoff;10.2307/3984910
emYGi1MAAAAJ;Harri  Mäkinen;40061757
shDUC4cAAAAJ;Jari  Hynynen;40061757
OAnY798AAAAJ;Risto  Sievänen;40061757,24130591
2aBr3hYAAAAJ;Alexander M. Cole;4033895
ipOViTQAAAAJ;Jakub  Těšitel;23064942,23391605,24033437
RIFERfAAAAAJ;Pavel  Říha;23064942
HQvPofMAAAAJ;Hilary  Stuart-Williams;43495215,40065877,4356684
_B2_4M8AAAAJ;Meisha  Holloway-Phillips;43495215
L12JEQQAAAAJ;Scott  Frickel;25473291
BPYBGXoAAAAJ;Nils  Cronberg;4181271,3072299,10.2307/2261206,20149885,20445843,23643174,20149811,lindbergia.34.9,20150155,20150028,20150027,20150185,23643049,23643385
thOGfy4AAAAJ;Robert  Scheller;41416668
vhwKoZsAAAAJ;Clarissa  Canedo;40962959,25140819,23255790,4497954
GL8BKd4AAAAJ;Ralf  Reski;27743504,43191382,23388805,25704958,23385677,40065364,23385350,40066211
6iGPw-MAAAAJ;Stefan A. Rensing;27743504,25704944,newphytologist.200.4.1022,40065364
sGGOzV0AAAAJ;Jed I. Macdonald;10.1086/674796
BfIAb7UAAAAJ;Brenton P. Zampatti;10.1086/674796
7SyoduoAAAAJ;Tarmo A. Raadik;10.1086/674796
LiRfgocAAAAJ;Puneet  Kumar;23264902,43558622
-jRaGA4AAAAJ;Dan  Graur;10.2307/2408528,10.2307/2992273
JZBQgFsAAAAJ;Marco  Moretti;30244685,3683829,3838538,27696345,24034405,20446000
7SXl75QAAAAJ;Colin  Legg;30244685
-L6ZIY0AAAAJ;Per M. Jensen;29738689
x0BQ1bgAAAAJ;Greg  Stuart-Hill;29738689,20869944
cD-5BcsAAAAJ;Elmer  Topp-Jørgensen;29738689
brdXz7oAAAAJ;Adriana D. Briscoe;24704036,40405987
f3BTbFgAAAAJ;Sam  Welch;44321194
Bff8C9kAAAAJ;Leslie M. Turner;41460078,20096445
WuhHC4MAAAAJ;Bettina  Harr;41460078
flDBWMYAAAAJ;Jeffrey P. Hoover;3107897,27639366,20445983,4163962,4163283
S59PVtMAAAAJ;Amy B. Baird;4126540,25145151
fpKoy_cAAAAJ;Kathryn E. Kovacs;24114002
QfKgQoYAAAAJ;B. Irene Tieleman;3450000,3450180,40863362,3884579,23016318,30157990,41686011,30160076,10.1086/666988,30160631
6IIAByQAAAAJ;Adam  McKeown;20171991,20062475,20445811
sZQj-REAAAAJ;Robert V. Hill;20061259
RaIWPFwAAAAJ;Fulco  Ludwig;3691635,40210647,40213184,20146535
n0NxqrIAAAAJ;David M. Rosenthal;3080193,24038785,40210647,40213030,41717549
_dTnTP8AAAAJ;Andrew M. Hein;41151171
l0MeE5AAAAAJ;Angela J Dean;41811402
BenSvlEAAAAJ;David  Sánchez-Gómez;24030863
9DUkq34AAAAJ;Edward J. Laurent;3591083,1566137
ygUdkGUAAAAJ;Steven E. McMurray;24871773,24872753
8AfWEfAAAAAJ;Tara  Stieglitz;40407780
7NgjfNUAAAAJ;João  Honrado;29546158,30138749,43289976
cXlzrP0AAAAJ;Rob HG Jongman;29546158
GpGvcHcAAAAJ;Vânia  Proença;29546158
GchjUPQAAAAJ;Patrícia  Rodrigues;29546158
-YtJk_4AAAAJ;Dirk S Schmeller;29546158
9KX6BDMAAAAJ;Chris  van Swaay;29546158
ZhwhNpQAAAAJ;Cristiana  Vieira;29546158
7q7nergAAAAJ;Eugenia T. Apostolaki;40603665
oqoqt3gAAAAJ;Ioannis  Karakassis;40603665,24854633,24864946,24853244,24863611,24864230,24859059,24858844
f4B5vzgAAAAJ;Alexander  Scheuerlein;4539117
NOJPonEAAAAJ;Steven L. Monfort;2387628,2641729,40961878,41417158,20095432,20095654
Dkwrvy8AAAAJ;Francisco  Sylvester;40390756,20869956
IuRVWq8AAAAJ;Marina  Di Masso;20743314
Zh3ksuAAAAAJ;Ricardo C. Benine;1448639
AafLmbIAAAAJ;José  Sabino;1448639
FDVJfmsAAAAJ;Reinaldo  Lourival;41058179
3FvogFcAAAAJ;Florent  Bled;41151217
EUF1UZ8AAAAJ;Elena  Gómez-Díaz;30244601,40062048,24875434
jxVB6_UAAAAJ;Joan  Navarro;30244601,40210514
jx9q0HIAAAAJ;Lindsay  Turnbull;10.2307/176634,20051308
Nwj1wIYAAAAJ;Chih-Wei  Lin;25592599
8d_sqEwAAAAJ;Patrick  Durand;10.2307/2640905,3448921,24855851
VrPYjK0AAAAJ;Sharon  Downes;10.2307/2679967,10.2307/2679990,10.2307/1565560,40213025
xJiY_PIAAAAJ;Zsolt  Szegletes;23786278
4zXHZS0AAAAJ;Subhajyoti  De;41503498
xv_ghYAAAAAJ;Angela  Hancock;41503498
e8sFFesAAAAJ;Andres  Moreno-Estrada;41503498
FJDGzosAAAAJ;Randolph M. Nesse;41503498,2830330
oBF4RjAAAAAJ;Sven  Boström;20113039,42949674
SBPYOOMAAAAJ;Wade  Blanchard;4539054,4539152,24873414
kfUeLncAAAAJ;Janice  Muriel-Cunha;41416602
_L-OkM0AAAAJ;Clarissa L. Marte;20103508
3PEknw0AAAAJ;Cynthia  Riginos;1447923,3449398,3449060,27650896
Mrmsm2kAAAAJ;Shenfeng  Fei;41505987
-Q8-elMAAAAJ;Ricardo Mallarino;4095339
OAeQHtgAAAAJ;W. Mark Ford;40662709,1383512,3858333,10.2307/3858675,4130999,3878025,25599305,3878170,3878094,3784249
RdO2I0gAAAAJ;Matthew  Wallenstein;27651246
nLjN-ZsAAAAJ;Sanjeev  Gupta;23787252
tGMEjagAAAAJ;Sanjeev  Gupta;23787252
Y2qlWLoAAAAJ;David L. Des Marais;40793094,41549913
9D5YXmUAAAAJ;Mary G. Gleason;3868791
rfSjsnkAAAAJ;Mason  Posner;10.2307/1447978,3884818
6r1xDrYAAAAJ;Alan  Williams;24871802,24857436
bu1da3MAAAAJ;Piotr  Dawidowicz;40864694
E_MNN_QAAAAJ;John A. Crawford;25622953,43287393
0sJ-G14AAAAJ;Ana  Previšić;10.1086/674430
uE3RmNQAAAAJ;Mladen  Kerovec;10.1086/674430
DlIB1-8AAAAJ;Steffen  U. Pauls;10.1086/674430
op9TF-kAAAAJ;Christian K. Feld;27759802
5ez2PXsAAAAJ;Ayron M. Strauch;10.1899/12-152.1,41474587
HCNlexIAAAAJ;Ana  Neves;20107785
grqRdBgAAAAJ;Enrique  Rico;25133949,25064025,10.2307/25065556,41679316,10.2307/1223901,27756786,10.2307/1223776,23210299,41317167,10.2307/1555033
lnlWyaAAAAAJ;Stephanie J. Green;24432207,24875422
EUcnWtEAAAAJ;Adam  Wolf;25741349,23023100
ndyLWGQAAAAJ;Casey B. Dillman;3448762
l2BEtMcAAAAJ;Katrin Linse;4539960
vpZaBrUAAAAJ;Carla  Ceoloni;23781495
NwnheOYAAAAJ;Gad  Galili;23781495,23697633,23696328,23697161,24037655,24036614,24035832,4278178,4271700,4280646,20205978,4274409,40066028,4274764,4276540,4279295,4271315,4279624,4277582,4270622,40065464,23882419,4280027,40537640,4281732
KdbiEfsAAAAJ;Kristy  Deiner;10.1086/678128,10.1086/590165
tyq-eagAAAAJ;Alexandre  Courtiol;40793175
KTHrGlQAAAAJ;Robert J. Kremer;10.2307/1941791,10.2307/4003014,4250936,42947486,3986952,3986943,3989020,3988163,4044846,4045715,4045410,4046345,4046276,4044249,4044202
UZKWwWMAAAAJ;Cesar  Tejeda-Cruz;20183504
EMvs9xYAAAAJ;Tracy  Bowerman;25661040
xUVB5i8AAAAJ;Andrea Battisti;4543507
HkSP1TEAAAAJ;Peter  Menkhorst;2641420
eeQzdN8AAAAJ;José Luis Carballo;24855020,24871971
zKlMlLEAAAAJ;Kurt M. Hartman;3107992
Kh9OQzAAAAAJ;Olivier  Tenaillon;2680350,24704045
s0aP-ocAAAAJ;Jason  Stoker;23034407
v1nVwmsAAAAJ;Richard G. FitzJohn;41317041,25677549,27896384
fRk2VqgAAAAJ;Jorge  Rabinovich;4493534
Zqrk9dIAAAAJ;Janine N. Caira;10.2307/1445839
LfP2xLYAAAAJ;Lars  Bejder;24867982
qbNYSnoAAAAJ;Mario  Cáceres;10.2307/2411044,3449002
LrjIpL8AAAAJ;Sanni L. Aalto;43494485
-LS3jK4AAAAJ;Anne  Dubuis;41242849
gZarzR4AAAAJ;Roger  Kirkwood;10.2307/2963511,23260098,41480362,24872654,24858398
7_E4FZoAAAAJ;David  Toledo;23470530,20788152
4d2mc2IAAAAJ;Soroush  Parsa;29779680
vHmTgTMAAAAJ;Joana R. Vicente;23501505
nrZTAQ0AAAAJ;Steven  Bouillon;24867755
Mf192b0AAAAJ;Mats  Björk;23381581,24854601,24873152
cua6rEQAAAAJ;James G. Rodger;41242832
7w9qXEsAAAAJ;Robert A. Klumb;4493525
zhhAQ2oAAAAJ;N LeRoy Poff;43187844,43187680
gEkFjwgAAAAJ;Kunshan  Gao;23463764,23391006,23598539,24867061
4y0YdAkAAAAJ;Kunshan  Gao;23463764,23391006,23598539,24867061
V_62AisAAAAJ;John  Beardall;23463764,24038421
mUZwSZcAAAAJ;John S Kominoski;43187655,43187675,43187679
AVlKZiwAAAAJ;Natalie A Griffiths;43187655
5GavZzEAAAAJ;Carri J LeRoy;43187655
JW_bQ-QAAAAJ;Madeleine M Mineau;43187655
9A12HvEAAAAJ;Maggie N. Chan;41413040
UJZueFwAAAAJ;Barbara  Sharanowski;40863340
JOCStO0AAAAJ;William  Rison;10.2307/2269361
vPVoGOsAAAAJ;John  Rawsthorne;25592748
YFEv9zUAAAAJ;Sean R. Murphy;25592748
c9FDayAAAAAJ;Giacomo  Zagami;20105683,20107839
RuRykMgAAAAJ;Helen  Regan;23034461
hIRKytQAAAAJ;Mark A Sutton;43187790
HOAQkSwAAAAJ;Scott X Chang;43187790
tNN4tWwAAAAJ;Tammy  Horton;20107421
pi7ed24AAAAJ;Arik  Diamant;20107421
tdVFYjsAAAAJ;Henry L. Short;10.2307/1933768,10.2307/1377012,10.2307/1377016,10.2307/1379911,10.2307/1377505,10.2307/1377380,10.2307/1377838,10.2307/1377248,10.2307/3669328,10.2307/3668944
r7F0qHwAAAAJ;Jean-Marc  Pons;10.2307/5802,4539186,20870000,2559942
