FMHdH2QAAAAJ;Neal  Woodman;23488610,10.2307/1382728,10.2307/1382274,10.2307/1382330,1383846,23488483,40662697,3504335,3858628
SqifPkYAAAAJ;Voahangy  Soarimalala;25145100
42_Yay4AAAAJ;Pei-San  Tsai;4296686
gnb4WWoAAAAJ;Patrick Ryan Getty;20144280
x-k8FQ8AAAAJ;Lennart  Nilsson;4296706
0pLCC28AAAAJ;Caroline  Eberlein;43229286
HZoq4hgAAAAJ;M.L.  Jeeva;41998956
CT7_KBUAAAAJ;Krishna  Pacifici;20144102
NOB2L38AAAAJ;Juan  Chen;24039797,42951901,20444857
KRPJ2RsAAAAJ;John J. Finer;20064932,4296136,4293288,4293160,4293541,20461758,4292952,4274657,25680637
R_prBUAAAAAJ;Andrew  Dougill;2997884
FmGL1igAAAAJ;Nigel  Trodd;2997884
S6O0RX8AAAAJ;Lian Xie;4299033,4299377,4300418
mDmWjiIAAAAJ;Ioan I. Bucur;1486032
tx_YaPQAAAAJ;Ingrid  Nesheim;27654107,40606949
w4HHggsAAAAJ;Elizabeth V. Berkeley;10.2307/1383023
nC9gyqMAAAAJ;Stephanie E. Pierce;4524725,4524609
0hxRPz0AAAAJ;Fiorella Lo Schiavo;4293850,24036641,23694642,20779832,4279073,23387338,41942867
BzdBdv8AAAAJ;Florian  Weinberger;24031144,24036921
ZmEnOxAAAAAJ;Georg  Pohnert;24031144,3546402,24866390,24873602,4222881,43564331,4280443
9nluNwIAAAAJ;Philippe  Potin;24031144,24036921,24036159,24829925,4356537,41692853,4279650
CEet1T0AAAAJ;Wolfram H. Dressler;41432988
CsXhlPYAAAAJ;Sango  Mahanty;41432988,23280334
oWCAAVYAAAAJ;Joe A. MacGown;25086274,25086344
uJBUaVMAAAAJ;Mark L. McFarland;10.2307/3899202,10.2307/4003000
C18wn90AAAAJ;John M. Kovacs;4300147,4299337,30134251
fDgO1_AAAAAJ;Xiaoming  Wang;4523460,4523442,20095389,20627166,4523612,20061984,23014734,10.2307/3503993
-n4kiJ8AAAAJ;Xiaoming  Wang;4524520,4524730,4523460,4523442,20095389,4524758,30126370,20627166,4523796,4523612,20061984,23014734,10.2307/3503993
kfykAzUAAAAJ;Mariko  Kageyama;40925723
wBd8gI8AAAAJ;M. Cristina Pedroso;23696611,23695244
8GYJOWoAAAAJ;Bruno Christ;4295115
V3i_nzAAAAAJ;David  Hanslow;43752451,25735719
KWwmPOwAAAAJ;Sundrish  Sharma;24038774
1m1gWHkAAAAJ;Kristin D. Bilyeu;24038026,24039677,40065855,4279659
LqoFQdgAAAAJ;Devinder  Kaur;41496447
XOnaiZ0AAAAJ;Devinder  Kaur;41496447
A2OM7aQAAAAJ;Kevin M. Yeager;40863819,43289988
ZKGyOTsAAAAJ;Peter H. Santschi;40863819,27698319,24866580
shaozCoAAAAJ;George  Koufos;4523346
oscxwQQAAAAJ;Loreta  Cornacchia;44234986
