tF-kdLAAAAAJ;Tianming  Wang;25680361
TjsWZ_AAAAAJ;Antonio M. Martin-Platero;40603060
59MjodcAAAAJ;Marta  Barluenga;3094634,4223047
2XNHFLMAAAAJ;Marco L. Bianchini;20104998,20105016
7csaY-gAAAAJ;Tom  Reader;24033928,40235282,3548063
4frADEoAAAAJ;Zhuoyan  Song;10.1899/12-099.1
cMn1E_wAAAAJ;Xiaoming  Jiang;10.1899/12-099.1
NjBsO-0AAAAJ;Seppo  Rouvinen;3682794,20113269
eQPKz1IAAAAJ;Jana  Navrátilová;25134167
yvJio04AAAAJ;Josef  Navrátil;25134167
QPK6k50AAAAJ;Alfonso  Escudero;10.2307/2937209,24125187,4223641,20146486
LGbxy-sAAAAJ;Douglas  Morrison;10.2307/1941634
3jvYK1oAAAAJ;Hans  Joosten;23064972,3599673,40212981
4rCEyeYAAAAJ;Rebecca  Lave;43443156,43188517
0m4hI6EAAAAJ;Luigi  Minuto;23264769,20171947,27743541,43558213
ZfVF-mcAAAAJ;Gabriele  Casazza;23264769,20171947,27743541,43558213
P65HbdsAAAAJ;Akiko  Satake;40062095,27650992,3072252,3547815
tVEuV2oAAAAJ;Toru  Terachi;10.2307/1565184
jisb59MAAAAJ;Vijayan  Sundararaj;23143908
EK2ixCYAAAAJ;Mark  Carey;25473130
JMLiyqMAAAAJ;Etsuko N. Moriyama;10.2307/2411115
rm8KqjMAAAAJ;Kevin P. White;10.2307/2411115
bDTFiRcAAAAJ;Erin K. Grey;24874026,41499896
uqts2m8AAAAJ;Mariangela Garcia Praça Leite;24571983
QxDBIqwAAAAJ; Vladimír Remeš ;4540083
Q_jEzvsAAAAJ;Kathy S. Williams;10.2307/3868385,10.2307/3868433,10.2307/3868545,10.2307/3868338,4217367,10.2307/3565690,4217281
x-G741IAAAAJ;Peng  Gong;10.2307/1941932
w9qpzjAAAAAJ;Juan  Alberti;27651518,40390763,20528908,40606657,41499997,24873861,41499911,24872062
mZS8TVAAAAAJ;Mauricio  Escapa;27651518,20528908,24872062
S02AuR4AAAAJ;Mark  Bertness;27651518,10.2307/1939593,40606657,41499997,43391923,24872062
ETUhDisAAAAJ;Dennis G. Dye;10.2307/1941937
15wtcFoAAAAJ;Lucio  Vinicius;23463809,3448824
JDIAIzsAAAAJ;Faiza  Al-Yamani;27743363,24817524
9Nl9LvkAAAAJ;Sophie  Bestley;27860802,20143305
yWKvbDgAAAAJ;Vincent  Devictor;40604235,41149770,25623133,30137888,40212947,40235334
OOh_hLsAAAAJ;Loren D. Coen;24321675,10.2307/1941505,25736616,24849568,4219911
zIHOygoAAAAJ;J. Sean Doody;1448449,41827131,10.2307/1564747,10.2307/1565531
