C9xq_zwAAAAJ;Patrick J. Weatherhead;4600319,4600727,4601079,4600052,4600676,25063677,4600843,4600305,4599278,4601313,4601110,4599989,4600567,4599990,4601420,4599245,4600542,4600033,4600855,4601705,4601124,27823506,4599558,25063691,4600511,10.2307/2410477,10.2307/2679832,10.2307/2409593,10.2307/2679968,1448060,10.2307/1446506,10.2307/2409607,10.2307/2409104,25592859,10.2307/2657179,10.2307/2679910,27797801,10.2307/1447605,1448356,3677428,10.2307/3677066,30244457,25599273,3893269,41515022,10.2307/3677060,10.2307/1565381,10.2307/5655,4092875,43287352,10.2307/1565122,4498524,3677628,10.2307/1564415,10.2307/1564079,4512657,25209079,3893053,41409840,43287315,10.2307/2403281,10.2307/1565512,2693504,3505614,10.2307/1564631,4512606,10.2307/1565574,10.2307/3677115,20143202,20445907,10.2307/3565819,10.2307/3676411,20062314,40235008,3547957,10.2307/3545840
zCCadrMAAAAJ;Ana C. Brito;41490517
Kntd3kkAAAAJ;Alice  Newton;41490517
6MqdnIoAAAAJ;Paul  Tett;41490517,10.2307/2259190
GxlAJrcAAAAJ;Richard  Bindler;20519799,4315851,4315286,4315019
_3xrhMAAAAAJ;Manuel  Soler;4601099,41414664,23736507,23254826,23737177,4601134,4601692,4535699,4601064,23479476,23436154,4627047,10.2307/2679805,3677417,3677436,30244835,3677596,4222162,4222777,4222237,40235214,4222175
3K4FdCoAAAAJ;Juan Gabriel Martinez;4601099,4601134
jsL2Pg4AAAAJ;Juan Jose Soler;4601099,4222162
qTjdqr0AAAAJ;Umi Kalsom Yusuf;10.2307/1547701
43__Aj0AAAAJ;F. Xavier Picó;4126198,27733413,23273881,27651370,10.2307/3071781,3450398,23262070,41435641,20051253,3547633
5__LpZ4AAAAJ;Frank V. Paladino;3883059,bullecosociamer.93.2.165,23213913,20183516,10.2307/1447425,24874444,40210649,10.2307/3676756,24870763,30163708,30156177
WOokC-QAAAAJ;Julie S. Denslow;10.2307/3298531,30044902,10.2307/2388740,bullecosociamer.95.4.334,20492546,4091855,10.2307/2260241,20528851,3068829,3236064,3236800,40005533,20050520,20445890,4220314
TJtCQoYAAAAJ;Javier  Guitian;2445851
RZQJxA0AAAAJ;Nilo  Ikuta;1593483,23526425,1593203
CuNCOCEAAAAJ;Riyadh  Muhaidat;27733194
1GGkVIQAAAAJ;Caroline A. Masiello;41490476,24715183
wMp4L-0AAAAJ;John L. Quinn;4602075,41414604,4536305,41059061,40405884,23017184,30244762
zZ2L5KwAAAAJ;Susanne  Foitzik;40863231,41414670,20640488,25063385,23500456,4601767,3450540,3683375,25592613,2640753,25483655,10.2307/2680128,2640752
LonzaIoAAAAJ;Liang  Zhang;23728190,41811687
sEDR9FEAAAAJ;Kimmo  Saarinen;23726550,23736887,23727194,23735477,25488421,23735824,30137870
O7CRqYsAAAAJ;Martin  Burd;30033813,27733447,25063694,43576707,10.2307/2409245,3449483,10.2307/2410296,10.2307/1939624,3450239,2559993,4092123,4499118,10.2307/2261423
eS4r75kAAAAJ;Diane R. Campbell;30033813,2444419,2444862,2446369,27733354,4122789,27733447,20700425,2656889,43576244,10.2307/2409845,10.2307/176984,10.2307/2409460,10.2307/2409210,27860841,29782962,10.2307/2265912,10.2307/2410882,10.2307/1940474,10.2307/2409892,10.2307/1940403,10.2307/2410003,10.2307/2408374,10.2307/2411334,4621266,10.2307/1937292,27650666,10.2307/1940404,3450239,25150866,20143577,20062322,4223272,20445903,10.2307/3565435
