10.2307/3535529|*Biomass|D018533|5551|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM|503^7^0
10.2307/3535529|*Seasons|D012621|5188|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM|1250^6^0
10.2307/3535529|British Columbia|D001955|3868|MH|RtM via: British Columbia;Forced Leaf Node Lookup:british columbia|TI|MM;RC|237^16^0
10.2307/3535529|*Charadriiformes|D046091|36828|MH|RtM via: Cerorhinca monocerata;RtM via: Ptychoramphus aleuticus;RtM via: Fratercula cirrhata;RtM via: Genus Cerorhinca|TI|MM;RC|147^21^0;1322^16^0;1340^23^0;1386^19^0;1370^14^0;1302^18^0;1138^18^0;1046^18^0;273^18^0;127^18^0
10.2307/3535529|*Fishes|D005399|22113|MH|RtM via: Clupea harengus (organism);RtM via: Nansenia candida;RtM via: Fishes;RtM via: Clupea harengus pallasi;Forced Non-Leaf Node Lookup:fishes|TI|MM;RC|636^15^0;734^16^0;985^6^0;810^6^0;796^6^0;467^6^0;396^4^0;305^6^0;100^6^0;619^15^0;349^6^0;917^6^0;1012^6^0
10.2307/3535529|*Perciformes|D010473|6519|MH|RtM via: Ammodytes hexapterus|TI|MM;RC|685^20^0;666^17^0
10.2307/3535529|*Meals|D062407|3564|MH|RtM via: Meal (occasion for eating);Forced Non-Leaf Node Lookup:meals|TI|MM|1097^4^0;885^5^0;110^5^0;494^5^0
10.2307/3535529|*Caloric Intake|D002149|3543|ET|Entry Term Replacement for "Energy Intake";RtM via: Energy Intake;RtM via: Nutrition, Calories;Forced Non-Leaf Node Lookup:caloric intake|TI|MM|1272^14^0;1449^8^0
10.2307/3535529|*Body Weight|D001835|2421|MH|RtM via: Body Weight;Forced Non-Leaf Node Lookup:body weights|TI|MM;RC|1467^11^0
10.2307/3535529|Perissodactyla|D010527|1000|MH|Forced Non-Leaf Node Lookup:rhinoceros||MM|127^10^0;273^10^0;1046^10^0;1138^10^0;1302^10^0
10.2307/3535529|Candida|D002175|1000|MH|Forced Non-Leaf Node Lookup:candida||MM|743^7^0
10.2307/3535530|Male|D008297|17104|CT|Forced Lookup:male|TI|MM|416^4^0
10.2307/3535530|Animals|D000818|17104|CT|Bird;CT Treecode Lookup: B01.050.150.900.248 (Bird);Songbirds;CT Treecode Lookup: B01.050.150.900.248 (Songbirds)||MM;RC
10.2307/3535530|United States|D014481|17104|CT|Forced Leaf Node Lookup:american|TI|MM|504^8^0
10.2307/3535530|Montana|D009009|1828|MH|RtM via: Montana (geographic location);Forced Leaf Node Lookup:montana|TI|MM|92^7^0
10.2307/3535530|*Songbirds|D020308|10266|MH|RtM via: Troglodytes troglodytes;Forced Non-Leaf Node Lookup:wren|TI|MM;RC|488^11^0;495^4^0
10.2307/3534204|Animals|D000818|23535|CT|Dipodomys;CT Treecode Lookup: B01.050.150.900.649.313.992 (Dipodomys);Rodentia;CT Treecode Lookup: B01.050.150.900.649.313.992 (Rodentia);Strigiformes;CT Treecode Lookup: B01.050.150.900.248 (Strigiformes);Peromyscus;CT Treecode Lookup: B01.050.150.900.649.313.992 (Peromyscus);Cricetidae;CT Treecode Lookup: B01.050.150.900.649.313.992 (Cricetidae);Mammals;CT Treecode Lookup: B01.050.150.900.649 (Mammals);Sigmodontinae;CT Treecode Lookup: B01.050.150.900.649.313.992 (Sigmodontinae);CT Text Lookup: mammal|TI|MM;RC|286^7^0
10.2307/3534204|Mice|D051379|23535|CT|Forced Non-Leaf Node Lookup:mice||MM;RC|580^4^0;763^4^0
10.2307/3534204|*Dipodomys|D004173|22535|MH|RtM via: Genus Dipodomys;Forced Leaf Node Lookup:kangaroo rats;checkForceMH Boosted|TI|MM;RC|690^13^0
10.2307/3534204|*Strigiformes|D020305|10874|MH|RtM via: Asio otus;Forced Leaf Node Lookup:owls;checkForceMH Boosted|TI|MM;RC|405^15^0;61^9^0;44^15^0;55^4^0;416^4^0
10.2307/3534204|*Trees|D014197|10532|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|279^5^0
10.2307/3534204|*Peromyscus|D010542|9065|MH|Forced Leaf Node Lookup:peromyscus;Forced Leaf Node Lookup:deer mice;checkForceMH Boosted|TI|MM;RC|545^10^0;534^9^0
10.2307/3534204|*Juniperus|D018653|8369|MH|RtM via: Juniper;RtM via: Juniperus;Forced Leaf Node Lookup:junipers;checkForceMH Boosted|TI|MM|271^7^0;85^7^0
10.2307/3534204|*Cricetidae|D003411|8236|ET|Entry Term Replacement for "Arvicolinae";RtM via: Cricetidae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cricetidae|TI|MM;RC|377^10^0
10.2307/3534204|*Sagebrush|D019306|3697|ET|Entry Term Replacement for "Artemisia";RtM via: Artemisia (plant);RtM via: Artemisia spinescens;RtM via: Artemisia tridentata;checkForceMH Boosted;Forced Non-Leaf Node Lookup:sagebrushs|TI|MM|93^9^0
10.2307/3534204|*Rodentia|D012377|21690|MH|RtM via: Family Heteromyidae;RtM via: Perognathus parvus;RtM via: Genus Perognathus|TI|MM;RC|360^12^0;586^18^0;573^11^0
10.2307/3534204|*Mammals|D008322|7386|MH|RtM via: Mammals;Forced Non-Leaf Node Lookup:mammals|TI|MM;RC|502^6^0;286^7^0
10.2307/3534204|*Sigmodontinae|D016205|2850|MH|RtM via: Genus Reithrodontomys|TI|MM|755^12^0
10.2307/3534041|Animals|D000818|18217|CT|Strigiformes;CT Treecode Lookup: B01.050.150.900.248 (Strigiformes);Hares;CT Treecode Lookup: B01.050.150.900.649.313.968 (Hares);Peromyscus;CT Treecode Lookup: B01.050.150.900.649.313.992 (Peromyscus);Gophers;CT Treecode Lookup: B01.050.150.900.649.313.992 (Gophers);CT Text Lookup: rabbit|TI|MM;RC|220^7^0
10.2307/3534041|Rabbits|D011817|18217|CT|RtM via: Old World rabbit;RtM via: Rabbits;Forced Leaf Node Lookup:rabbits;CT Text Lookup: rabbit|TI|MM|220^7^0
10.2307/3534041|Mice|D051379|18217|CT|Forced Non-Leaf Node Lookup:mouse;Forced Non-Leaf Node Lookup:mice||MM|598^5^0;282^4^0;493^4^0
10.2307/3534041|*Strigiformes|D020305|17217|MH|RtM via: Asio flammeus;RtM via: Asio otus;RtM via: Bubo virginianus;Forced Leaf Node Lookup:great horned owls;Forced Leaf Node Lookup:owl;checkForceMH Boosted|TI|MM;RC|454^15^0;243^14^0;134^16^0;45^3^0;254^3^0;466^3^0
10.2307/3534041|*Hares|D034621|5916|MH|RtM via: Hares (mammal);Forced Leaf Node Lookup:hares;checkForceMH Boosted|TI|MM|232^5^0
10.2307/3534041|*Peromyscus|D010542|3828|MH|Forced Leaf Node Lookup:deer mouse;Forced Leaf Node Lookup:deer mice;checkForceMH Boosted|TI|MM;RC|338^10^0;620^10^0;519^9^0
