5BsGej8AAAAJ;Jonathan M. Flowers;3061615
FzOTrFUAAAAJ;Martin  Taylor;3095251
MQZwUg0AAAAJ;Esteban  Suárez;3658837,4498567
BPkUO2wAAAAJ;Karyn  Tabor;27797827
BMNoQXUAAAAJ;Okhee  Lee;10.2307/3868191
Beptq3cAAAAJ;Lida  Xing;24032700
CrX4LPAAAAAJ;Phil R. Bell;24032700
aLblwX0AAAAJ;Xing  Xu;24032700,20061976
tUY3JJcAAAAJ;Tetsuto  Miyashita;24032700
TSFgkJ4AAAAJ;Joël  Bried;43441234,23225195,10.2307/3677011,10.2307/3677108,4132522
ZlF06mAAAAAJ;Mark  Bolton;43441234,20143977,40605838,10.2307/5607,27715313,10.2307/5424,27715201,4539271,10.2307/3676539
b0gEfTUAAAAJ;Guillermo  Ibarra-Núñez;3696831,4222417
p61wpJUAAAAJ;Yann  Bourgeois;41503457
SLTmcowAAAAJ;John E. Mittler;10.2307/2409801
zHMlg0YAAAAJ;Xavier  Raynaud;3450285,23028868
ID9YjN0AAAAJ;Kristin  Nowell;20183362
35kyZHkAAAAJ;Karel  Klem;23783778
gP7_pLgAAAAJ;Joan B. Company;20107489,1549911,1549657,24875567
hfhYIWkAAAAJ;Erik V. Thuesen;24828366,24868576,24837971
qIJheTkAAAAJ;Franck  Zal;24863824
Ho7vigkAAAAJ;Todd  Lookingbill;20440793
NoEJLLEAAAAJ;Charles A. Ross;10.2307/2406279,1301649,1301869,1301297,1301839,1302186,1301303,1302523,1302312,1302053,4133777,1303031,1301551,1301685,3555338,1301781,1301046,1301341,1303868,1303916,1301324,1302164,1306615,1302670,10.2307/3514697
db2qxToAAAAJ;Rupert  Seidl;23325687,24432294
GroGXfYAAAAJ;Werner  Rammer;23325687,24432294
46PlMvwAAAAJ;Ben  Bolker;27646000
SC__MegAAAAJ;M. Rhead Enion;24115124
493MsTwAAAAJ;Michael  Biehl;3683799
vfONBNUAAAAJ;Katrin  Premke;10-002,41413506
3YXC_WUAAAAJ;Daisy  Wowor;20106181,10.2307/1549273,23485200
QT4zhmQAAAAJ;Fernanda P. Werneck;4092814,41515006
sFMnhScAAAAJ;Jason  M. Cope;23596815
_65oP9EAAAAJ;Alfred L. Gardner;10.2307/1443710,10.2307/1378604,10.2307/1377544,10.2307/1378297,10.2307/1376887,10.2307/1378948,10.2307/1376917,10.2307/1378828,10.2307/1381195,3504304,3504453,10.2307/2412677,10.2307/3671900
NBjCDsYAAAAJ;Hannu  Poysa;10.2307/177430,10.2307/2845605
6sYZclwAAAAJ;Sara  Calhim;25150762
WajKQtsAAAAJ;Qixin  He;24032786,20780373
6_d9xjsAAAAJ;Danielle L. Edwards;24032786,40802505,41415329
JRwulAYAAAAJ;Woollcott  Smith;4215299,2401104
wAsab98AAAAJ;Roger  Cropp;10.2307/3071783,41413037
4lue01cAAAAJ;Albert  Gabric;10.2307/3071783
gX4CLQMAAAAJ;Jason  Pither;20069252,3879603,3566429,10.2307/3546558
2gav2ikAAAAJ;Mark  Merchant;24635720,43287304,41425648
ofg5GYkAAAAJ;C. Roland Pitcher;23144030,24432146
GJ0yDhsAAAAJ;Dunia H. Urrego;25622898
wnolr9sAAAAJ;Federico  Luebert;90005716,23489332,25064352,20773993,41317239
yzuT2YYAAAAJ;Ross  MacLeod;43494879,27715287,20616894
2llrRiMAAAAJ;Blair M. McKenzie;43441143,42952630
VNEYuQsAAAAJ;Tim J. Daniell;43441143,24129084
ztYDWK0AAAAJ;Giovanni Scopece;4627074
E0FWEcMAAAAJ;Jacquelin  DeFaveri;41240772,24032710
BHegIcwAAAAJ;James  Koehler;10.2307/177000
PII_yGEAAAAJ;Kristen M. Hart;25140763
tkpCjdsAAAAJ;John D. Scanlon;1447900,20627158,10.2307/1565810,4524401,20491079,25599196
CbozriUAAAAJ;Jere H. Lipps;10.2307/2406711,1301485,1302215,1303500,1302567,10.2307/2844726,1302171,4523959,1302028,1306554,1302218,1306053,1301943,2400472,4097071,2401147,10.2307/1485409,10.2307/1485663,2666060,2400357,10.2307/1485283,10.2307/1486137
uEtUrmsAAAAJ;Binod  Dawadi;43494476
TKz4uQsAAAAJ;Gudrun  Marteinsdottir;10.2307/1445889,24871571
GpMdPJgAAAAJ;Ainara  Cortés-Avizanda;43494862
R2lkEusAAAAJ;Toddi  Steelman;29738691
cpXRC0MAAAAJ;Troy  Bowman;29738691
E2TZrtsAAAAJ;Brandon  King;29738691
LfiaL20AAAAJ;François  Morneau;27651120,27754354
VnwJoOcAAAAJ;Rainer  Kuuba;20113321
0boSf_cAAAAJ;Ruey-Shing  Lin;3877718
CFQ13WkAAAAJ;Jan M. Wójcik;4095431
b0NcCgsAAAAJ;Prasert  Sobhon;27743357
ovL1l68AAAAJ;Leonard V. Polishchuk;20062327,10.2307/3546659
65Y1OxcAAAAJ;Jens Würgler Hansen;40062145,24865338
eqCh7YEAAAAJ;Frédéric  Fabre;40061703
wWTpqmEAAAAJ;David J. Schwab;41416689
7MYzMkcAAAAJ;Mireia  Bartrons;43677527,41686023,41693851
bQSVpFQAAAAJ;Madhusudan  Katti;2647331
q0Ro838AAAAJ;Leo H. Shapiro;10.2307/2411272
v39u06oAAAAJ;Aris  Spanos;43495192
FPpZDF0AAAAJ;James H Thorp;43187680
L41ZPL8AAAAJ;John M. Hranitz;1448346
iSSbrhwAAAAJ;Theodore  Garland Jr;2585323,2585203
0MpB_JUAAAAJ;Melissa Foley;4539078
pt9bgP0AAAAJ;Johan A. Stenberg;40235086,20445928,20445934
TSjPmycAAAAJ;Alex  James;27651042,24866978
H5ePS5kAAAAJ;Ulrika Alm Bergvall;3451034
h0BWgl0AAAAJ;Jussi  Jyväsjärvi;10.1086/676914
MUxij9QAAAAJ;Jukka  Aroviita;10.1086/676914,20491181
ZPOKMMgAAAAJ;H.  Coops;27823657
5s8SoI8AAAAJ;Adrian Nieto-Montes de Oca;40793184,10.2307/3672442
Li4VjyYAAAAJ;Eugenia M. del Pino;10.2307/1444129
22C6KrcAAAAJ;Maria Pia Miglietta;23328292
PCvrlSgAAAAJ;Ben F. Koop;1447919
iztu1AIAAAAJ;Clive P. Keenan;10.2307/1447516
XtTUlvIAAAAJ;Matthew R. Jones;24032791,wildsocibull2011.36.1.47
yLVYedYAAAAJ;Brenna R. Forester;24032791
2uS5YZ4AAAAJ;Heather McMillen;4256153
04X_v-0AAAAJ;Ian  Overton;43187860
sB6O_L4AAAAJ;Carmel A. Pollino;43187860
Wwf-dH0AAAAJ;William  Young;43187860
XoiUamgAAAAJ;Donald A. Windsor;10.2307/1442857
mAD-fawAAAAJ;Amy  Shober;24321903
