-mQlkWwAAAAJ;Gu  Feng;24130941,24124075,24130879,24124298,24130347,24125279,42951147,24146459
ulrFgHQAAAAJ;Michael A. Alcorn;43287349
gZA834kAAAAJ;Jodie A. Haig;40206219
sYW0sHYAAAAJ;Marta Adelina Mendes;24038297
NHLuGGkAAAAJ;Luis  Biancucci;40835571
Kt37vFQAAAAJ;David A. Eads;24575312,23259876
AyciAXwAAAAJ;Diego  Demarco;10.1086/677947,43558250
P2wZ6O0AAAAJ;Rachel  Cavanagh;1555806,3505307,3548749
Mk1N01AAAAAJ;Julian Di Stefano;4539327
U9v4y_cAAAAJ;Gerlinde B. De Deyn;20869981,27754278,3548380
yAA7Nb0AAAAJ;Robert S. Shiel;20869981
lAMEm7MAAAAJ;Andrew P. Shinn;3227142,3701478
WYAjjVkAAAAJ;Christina  Sommerville;3227142
BuxK0pIAAAAJ;Joerg  Fettke;24037924,43191503,41434239,40066290,23598618,43191776
QLTz61oAAAAJ;Alexander G. Ivanov;23381685,20205949,23386532,4274237,23389360,4280770
9mqptb0AAAAJ;Gopal  Puri;23353395
zJvHeiIAAAAJ;Robert S. Nicholson;25736226
vaaRJmUAAAAJ;Gregory J. Benner;23779537
98V-o3MAAAAJ;Thorarinn Gudjonsson;4295645
MwQCK5EAAAAJ;Joel L. Carlin;3893330
bvEWIRMAAAAJ;Richard  Redak;25085293
j2u0UMIAAAAJ;Marcelo Hermes-Lima;4540188
aOl9FsUAAAAJ;Matthias Ochs;4540188
EP5zFmcAAAAJ;Vlad  Codrea;30126338
hDmx0_AAAAAJ;Annelise  Folie;30126338
YOecWREAAAAJ;Thierry  Smith;30126338
pahZvewAAAAJ;James E. Kaldy;4299283,24869816,24849614,24866945
QpMRJAoAAAAJ;V. Ramesh Babu;30138755
OE-_7tMAAAAJ;Dmitry A. German;41761895,24717345,43558196,20406157,23664351
MF2Ini4AAAAJ;Angelo  Fortunato;25086227
qX5Iy0EAAAAJ;Nick  Marriner;23353612
pfx0dXAAAAAJ;Michel  Fontugne;23353612
FXE38b4AAAAJ;Simon Elwen;4094255
aLblwX0AAAAJ;Xu  Xing;20627160
zdfFDPEAAAAJ;Nathaniel  Virgo;3505582
U55ArEcAAAAJ;Jennifer L. Rice;40343998
maF424EAAAAJ;Vidhu A. Sane;24039660
nNkKl9IAAAAJ;Aída  Otálora-Ardila;24575403
ejeFLvEAAAAJ;José Juan Flores-Martínez;24575403,3504438
ctUO13IAAAAJ;Raquel  Vasconcelos;40731392
NfJ2p0QAAAAJ;S. Patricia Stock;20144050
lj8WscwAAAAJ;David K. Yeates;41310184
R3Cvo_sAAAAJ;Darren  Crayn;41310184,4619846
KB3IEkUAAAAJ;Thomas F. Meyer;4294642
6aHOYsIAAAAJ;Norman  Platnick;25010558
cnaHvDkAAAAJ;Martin  Granbom;30244823,40210642
ETJv5L0AAAAJ;Ronald  Goldberg;43752202,41315935
5jLca40AAAAJ;Laetitia  Plaisance;30135992
I9HwW-sAAAAJ;Vincent  Rousset;30135992
3wzP7ZoAAAAJ;Zhifeng  Ding;24035831
Eop19PsAAAAJ;Zvulun  Elazar;24035832
7ocm58cAAAAJ;Lukáš  Fischer;24037762
wRvAwT8AAAAJ;Mark  New;30142883
QNCjrsAAAAAJ;Nicola  Fusco;24035848
_iFMyTUAAAAJ;Nicola  Fusco;24035848
12S-JL8AAAAJ; François Anctil ;4297641
186qpN4AAAAJ;P.  Varvarigos;10.2307/2404221
rx3FOk0AAAAJ;Christophe  Randin;3838445
7gFbHSYAAAAJ;Fernando A. Silveira;3554863
2C1Tx8EAAAAJ;Richard M. Napier;23695210,4280409,23379395,4275954,4281603,40066196,4279525,23380554
KXa7_eEAAAAJ;Pierre  Legagneux;24617970
GzTYG-IAAAAJ;Natasha A. Urban;27755150
JZLsJckAAAAJ;Bulle  Mallesham;41496504
KYEbldUAAAAJ;Kota  Srinivas;41496504
mwY4ziUAAAAJ;Lucia  Guidi;23695569
eZpkzdUAAAAJ;Cristina  Nali;23695569
yBNkJ6gAAAAJ;Giacomo  Lorenzini;23695569
jwMGr9sAAAAJ;Eduardo  Segarra;10.2307/4003111
RJR7SCEAAAAJ;Abidur  Rahman;24036611,4281428,40065966,23274678,40538045,4279723,4280825
jTUSzywAAAAJ;Hui Fan;4300349
WiOxk8wAAAAJ;Julien  Pirrello;24038602,24036789
XaasBZIAAAAJ;Dominik  Brill;43289978
l6B4VrgAAAAJ;Kruawun  Jankaew;43289978
H1YZfXoAAAAJ;Andreas  Vött;43289978
sXUCtToAAAAJ;Patricia  Coello;24039494,40065855
gbQvS10AAAAJ;Marcin  Kadej;41681217
up7VMkcAAAAJ;Ryszard  Szadziewski;1305402
bHRTbq8AAAAJ;Martina  Milanese;3701488
uAv3wx4AAAAJ;Hannes  Baur;1565854
JX_w69gAAAAJ;Laju  Michael;27698337
bEkA3fgAAAAJ;Rita Gandhi;4293236
r44TVZgAAAAJ;Kieran  Hyder;24831757
d4lqNy8AAAAJ;Maitane  Olabarrieta;40605478
b_bQVCIAAAAJ;Simon W. Hayward;4294713
a4xmtfwAAAAJ;N. Adam Smith;30117468,10.1525/om.2011.72.1.1
p5Bquh0AAAAJ;David  Rhodes;23695216,4270716,4279415,4279266,4272075,4270833,4273692,4270715,4270324,4266995,23371804,23370987,4356556,23379845,4356528,4270296,4272480,4281050,23372048,4273161,4273513,4271529,4271642,4276360,4278040,4270881,4272479,4278101
UAz4KC8AAAAJ;Usha Mukundan;4293658
uovZTSMAAAAJ;Tero Klemola;10.2307/5914
tHBlrSEAAAAJ;Minna Koivula;10.2307/5914
3vQKIwMAAAAJ;Kai Norrdahl;10.2307/5914
YluIi_YAAAAJ;Paul J. Higgins;4292551
SgExE2UAAAAJ;Muhammad  Asif;42568808
bz2rYdkAAAAJ;Aakash  Goyal;42568808
_sS9CoMAAAAJ;Dean  Spaner;42568808
knMm3AcAAAAJ;Tyson J. MacCormack;1549630
