8YH0-9wAAAAJ;Gregory H Aplet;29546163
9hNdC38AAAAJ;Stephen  Woodley;29546163
fCJZmKwAAAAJ;Elie  Poulin;10.2307/2410854,25145096
PoZtleMAAAAJ;Marcelo S. Moretti;23034860
odETIg4AAAAJ;Ana M. Chará-Serna;23034860,10.1086/681094
qmIatvkAAAAJ;Elizabeth E. Webb;43495183
SgXDC3cAAAAJ;Giuseppe  Brundu;20172040,3599417,3838496,3697624
9zrXztcAAAAJ;Giuseppe  Brundu;20172040,3599417,3838496,3697624
i223gLwAAAAJ;Troy I. Wellicome;24432230,24575398,20062167
RSgaTM0AAAAJ;James R Miller;41480674
HlcEf-8AAAAJ;Sophie  Smout;27651403,20869950
3XtziPIAAAAJ;Erez  Hatna;41505906
jpT7ndcAAAAJ;Jane L. DeGabriel;27651034,41318873,newphytologist.198.1.252,24033484,40310161,40213232
lsZHpoYAAAAJ;Michael C Duniway;43187617
6rMcjmEAAAAJ;Mark E Miller;43187617
54ygQZQAAAAJ;Grant  Edwards;25622870
Sq8iFG8AAAAJ;Bernie  Tershy;40061687
Rj_ATyUAAAAJ;Wayne  Law;4257114,25652776,40802527
gIMZxekAAAAJ;Dalva M. Silva Matos;10.2307/177246,2648433
a-MpemcAAAAJ;William H. Settle;10.2307/2265694,10.2307/5020,10.2307/3546250
DE142rUAAAAJ;Dadan  Hindayana;10.2307/2265694
0a-dB_cAAAAJ;Erik  Lavington;24032774
zmvTl8oAAAAJ;Katherine R. O''Brien;24032774
LKWQ1hwAAAAJ;Tim  Nuttle;23596739
f6GUPSUAAAAJ;Peter L. Harrison;24858396,24872510,24872962,24872027
Ke7yUWEAAAAJ;Ziheng  Yang;10.2307/2411113
NDnsdb4AAAAJ;Irene  Goyenechea;1448265,10.2307/1565807
IaNmJCcAAAAJ;Joshua T. Smith;10.1086/676998
YCu3mY4AAAAJ;Damien  Richard;42795395
IHeBBWYAAAAJ;Edwin S. Monuki;29782975
4qk_2HQAAAAJ;Georg  Striedter;29782975
