kTGhM34AAAAJ;Erin  Shanle;23390405
TSJMZuYAAAAJ;Eitan  Ben-Dov;25256215,41489023,23361594,41489785
wpZ8-0AAAAAJ;Asher  Brenner;25256215
1Nibd1IAAAAJ;Matthias  Lutz;10.2307/3762080,10.2307/3762178,10.2307/3762148,24637454
FUJJ66cAAAAJ;Mark A.  Chappell;10.1086/605917,30158385
kfF_62MAAAAJ;Jane  McKeating;23379313
T-7JpWIAAAAJ;A. Sofia Lima;42568981
FrWe3X8AAAAJ;Helena  Trindade;42568981
YPHRE8sAAAAJ;David  Stopar;40926460,41489775,27770615,25256157
O_PB3z8AAAAJ;Aureliano C. Malheiro;24130673
rG0-3xkAAAAJ;Francisco J. Villalobos;24130673
WLAaWGoAAAAJ;Zhu-Qing  Shao;43191090
sluGEjEAAAAJ;Himmah Rustiami;10.2307/4111007
2cF-rjIAAAAJ;Xabier  Irigoien;24866587,24873024,24867583,24831874,24866551,24855785,24853365,24868926
r_tHezEAAAAJ;Julia  Walochnik;20444826,41693736
qL5yy1UAAAAJ;M. Teresa Telleria;23488819,20444992,27920446
j2cXIxUAAAAJ;Margarita  Dueñas;23488819,20444992,27920446
X72fOXAAAAAJ;María P. Martín;23488819,10.2307/3761889,23489535,3762292,23055175,27920446
zOUYPd4AAAAJ; Sabine Lüthje ;4281227
8ol7-V8AAAAJ;Peter J. Gollan;23392080
-sulsbsAAAAJ;Mikko  Tikkanen;23392080,41812034,25680689
8JbrsgUAAAAJ;Liang Sun;newphytologist.200.4.1269
hdDAOo8AAAAJ;Liang Sun;newphytologist.200.4.1269
-wZgxrUAAAAJ;Wojciech  Walkusz;24874569,24866628
cnOQU9MAAAAJ;Roberta  Paris;43564735
_F7ysRgAAAAJ;Elena  Marasco;43564735
6tKQPWgAAAAJ;Yadong  Huang;25680790
KjJD0jcAAAAJ;Anna  Carfora;24129909
inROBBIAAAAJ;Antonio  Fiorentino;24129909
9AhFfw0AAAAJ;Franco  Miglietta;24129909,24123862
u6kA98wAAAAJ;Harry R Carter;43286426,40856453,43286427,41300887,41300900
meIxUqMAAAAJ;Sergey  Dobretsov;25256207
WczYIBwAAAAJ;Lizhu Wang;4251132
-QyYEscAAAAJ;Lizhu Wang;4251132
vcBESyoAAAAJ;Kang  Ming;20406147
NIKZjd8AAAAJ;Jean-Marc  Routaboul;23389415,4279580
Dt3d22AAAAAJ;Jack P. Wang;42569050
cCNwxOcAAAAJ;Christopher M. Shuford;42569050
pNUktggAAAAJ;Hsi-Chuan  Chen;42569050
rOO-yIQAAAAJ;Dirk Selmar;4272873,4276924
9RzVMnkAAAAJ;Barbara I.P. Barratt;24058097
z3hxXS4AAAAJ;Emily C. Giles;43924165
4UlrFFQAAAAJ;Songhu  Wang;40065403,40537847
I2FtDlEAAAAJ;Jim  Fyles;40310071
