Nyuq-f8AAAAJ;Heather H. Wilkinson;10.2307/3762134,4221426
cin1-tYAAAAJ;Alexander  Pfaff;4620940
4w1GCu4AAAAJ;M. Arthur Munson;29779609
gIdev3AAAAAJ;Forrest G. Hall;10.2307/2269350,41499780
NuqXayQAAAAJ;Jaime  Jahncke;10.2307/1521739,41416652,10.2307/1521607
q5VxVuIAAAAJ;Russell  Alpizar-Jara;40005624
4Ykg3a0AAAAJ;Reid S. Brennan;24032848
S9C9C8QAAAAJ;Andrew  Whitehead;24032848,40793096
nUxb0h4AAAAJ;Jeffrey D. Camm;4493702
96QdM-gAAAAJ;Christopher A. North;24874200
9R3x_0gAAAAJ;Paul  Galpern;3061583
XlgG1SgAAAAJ;Jessica  Hua;24637214,10.1899/11-098.1
mmBaiwsAAAAJ;Robert D. Ward;24857814
pvNXLJIAAAAJ;Susana  Bautista;10.2307/3061085,3658944,27823738,24130652
vfgVDMsAAAAJ;Elisa  Bonaccorso;30244445,3893459
6veKwzwAAAAJ;Ingrid  Koch;20406216
Lzhw9gIAAAAJ;Olav  Vadstein;24867410,24871117,41942742,24875488
MhF_ZxIAAAAJ;Réhaume  Courtois;3683752,3450825,20144107,4130985
HaH_ElsAAAAJ;Jörn  Köhler;10.2307/1447487,1448200,25512195,4092955,3893590,40205460,20143358,10.2307/1565445,41415259,4092949
cYWl8SwAAAAJ;Danilo  Russo;3683435,4640677,27743559
r4V5hhoAAAAJ;Noam Levin;4139439
GY-yF8AAAAAJ;Arnaud  Carrara;23501437
cnRqrdIAAAAJ;Markus  Furger;40296375
cFLCx_sAAAAJ;Eiko  Nemitz;42950949
pOX8eKwAAAAJ;E. William Schweiger;10.2307/2657208,3548310
MaFduW0AAAAJ;Mariano  Donato;20143376,30142880
wlYg-ScAAAAJ;Wang  Dajun;3095373
