kHIW_0cAAAAJ;Lars  Schmitz;23464140,20491013,20491012,20491037
MzKMBPQAAAAJ;Elizabeth  Smith;23377244
XQUXo1UAAAAJ;Karen  Schleeweis;43677506
4AH9mYQAAAAJ;Chengquan  Huang;43677506
smlKJ4kAAAAJ;Gail M. Simmons;10.2307/2408456
iDLDxggAAAAJ;Vonda  Cummings;43187888,24868571
adDmpJsAAAAJ;Andrew  McMinn;43187888,3687586,3687757,24859023,3687650,10.2307/1485890
5hbg35wAAAAJ;Stefano  Schiaparelli;43187888,40602794
GSzTiQUAAAAJ;Claudia  Stein;25661150,25680405,40309863,40235545
O7rSE9oAAAAJ;Orlando  Rivera-Díaz;90008896
3kI7yKEAAAAJ;Benjamin  Gilbert;20069068,3450628,23463820,40835765,20528891,20062229,40235482
tkD9FbEAAAAJ;Bernard  Cazelles;10.2307/176543,3505402,40213251,24872479,3548796
G78jb50AAAAJ;Campbell  Rolian;40664000
0Wop6pIAAAAJ;Linda J. Young;3095418,23775697,10.2307/4002682
tucYfxQAAAAJ;Pamela  Hidalgo;20107678
FEQtPZsAAAAJ;Ruben  Escribano;20107678,24852010,24858372
zsuuKOQAAAAJ;Craig A. Harms;40962327,20096379,4497961,20096380,20095379,20460532,30134891,20095853,20460470,20096638,27751764,10.2307/30136973,20096649,20096265,41262616,20096172
ECFMZjYAAAAJ;Craig A. Harms;40962327,20096379,4497961,20096380,20095379,20460532,30134891,20095853,20460470,20096638,27751764,10.2307/30136973,20096649,20096265,41262616,20096172
RBKFcQQAAAAJ;Roman  Dial;10.2307/1940714,10.2307/176752
afBhj30AAAAJ;Frank  Glaw;1448525,41827083,4098531,1448408,10.2307/1447561,1448434,25150798,3591201,1565862,10.2307/1565581,3554857,41415259,10.2307/1566180
S80TS2AAAAAJ;Lori  Bouck;20105673
gb02KKEAAAAJ;David  Thistle;20105673,10.2307/1547885,24854659,24867567,24815063,24825542,4217388,24825834,24815057
E1R0uAYAAAAJ;Jennifer L. Ison;20183470,43441270
5W5tc3EAAAAJ;Maciej  Pabijan;41827083
AZoQ20oAAAAJ;Ramakrishna R. Nemani;10.2307/1941378,3659005
NSGyyx8AAAAJ;Rebecca  Bunn;25592629
Zqc_02sAAAAJ;Michael J. Greene;20069219,3893268
ebxI7n0AAAAJ;Erika  Crispo;24032789
k97foNcAAAAJ;Barbara  Tschirren;3505558,30245216,3505447,20062271,4223740
lUsS3dAAAAAJ;Martin  Cryer;10.2307/3099940,10.2307/3565837
bafAfDYAAAAJ;Martin  Cryer;10.2307/3099940,10.2307/3565837
4Id7ayEAAAAJ;Steve  O''Shea;10.2307/3099940
jY_StGoAAAAJ;E Charles Brummer;41479960,41480668
HH1Cl6kAAAAJ;Wesley T Barber;41479960,41480668
CahLHSgAAAAJ;Sarah M Collier;41479960,41480668
o2U40BEAAAAJ;Seth C Murray;41479960,41480668
-SyVF40AAAAJ;Stephen M. Reilly;10.2307/1447181,10.2307/1446939,10.2307/2409336,10.2307/1445926,10.2307/1446142,10.2307/1446404,3892603,10.2307/1563774
qDUBrUMAAAAJ;Iryna  Dronova;41505918
8_RUg0AAAAAJ;Erin E. Seney;25140651,24875597
K7r_6okAAAAJ;Ammon  Corl;23262059,41827077
65V0R-QAAAAJ;Juan Antonio Fargallo;10.2307/1521732
lq4fh3UAAAAJ;John F. Benson;1383829,23017188,24034413
t-qGrXEAAAAJ;Sara  Debecker;10.1086/682571
gjdnXsMAAAAJ;Khuong Dinh Van;10.1086/682571
