,fullname
164672,W. S. DVORAK
164673,JEAN  BROUARD
164706,C. L.
164724,Jorge  Valdez
164741,Albert Mills Ingersoll
164768,D.  NORSE
164790,Hervé  Lormeé
164794,Huixia  Tian
164795,Shijiang  Yu
164797,Juan  Yang
164798,Lili  Ding
164801,W. Weightman Orpington
164802,Daphne  Hutchinson
164813,Susan  Halbert
164814,Trevor  Smith
164819,Luis F. Aristizábal
164820,Mauricio  Jiménez
164852,Aaron J. Mullins
164853,Lewis W. Walker
164858,Oscar G. Pérez
164859,Donald  Best
164897,Gimena  Dellapé
164898,Juan P. Bouvet
164899,M.  Brady
164931,Jane S. Adams
164951,Robert  Lindner
164958,Noble  Rollin
164960,James. E. Carpenter
164961,N. T. Chang
164964,Hiram González Alonso
164965,Daysi Rodríguez Batista
164967,Alejandro Llanes Sosa
164968,Bárbara Sánchez Oria
164969,Elizabeth A. H. Wallace
164980,Eder F. Mora-Aguilar
164981,Alvin M. Simmons
165009,E. B. Spurr
165010,James Liebherr
165012,Pilar  Pavón-Gozalo
165013,Pau  Aleixandre
165014,Jatziri A. Calderón
165016,Julio  Hernandez-Montoya
165021,Erik S. Skiles
165022,Jolene R. Christenson
165023,Curtis  Elliott
165026,F. A. Robinson
165030,Ramon C. Littell
165031,Ngo  Dong
165051,C. G. Alvarez
165061,M. O'K.
165065,J. I. López-Arroyo
165066,J. A. Aguirre-Gómez
165129,Rufina N. Ward
165130,Kenneth E. Ward
165142,Darby  Doyle
165143,A.  Bailey
165149,Phillip D. Havens
165150,E. Morelli
165151,P. Gonzalez-Vainer
165152,A. Baz
165153,Elisa Furtado Fernandes
165154,Bruno Corrêa Barbosa
165160,J. L. TANGWA
165161,V. R. NSOLOMO
165181,Arab  Eastforest
165185,P. E. Parker
165186,B. R. Coon
165187,F. E. Vasquez
165191,H. J. de Vries
165238,N. T. Lauer
165239,A. M. Rossi
165293,S.S.  MADOFFE
165294,Ø.  AUSTARÅ
165304,Arthur K. Burditt Jr.
165322,H. H. Bryan
165364,John D. McCarty
165371,Claudenir S. Caires
165372,José N. Nicácio
165381,D. O. Kiobia
165382,S. D. Tumbo
165383,J.  Cantillo
165384,P. K. Mallikarjunan
165385,B.  Arias V.
165386,O. L. Guzman
165406,HAROLD F. GREENEY
165407,KRISTOF  ZYSKOWSKI
165413,NORMAN  JONES
165415,F. H. Rodier Heath
165426,Steven  Liston
165427,William A. Rapley
165439,F. E. Fisher
165440,J. T. Griffiths Jr.
165462,Thomas A. Webber
165483,Matthew G. Hentz
165511,Kellen  Favero
165512,Harley Nonato De Oliveira
165513,Daniele Perassa Costa
165514,Oscar
165518,Yong Xue Deng
165538,R.  Cherry
165540,C.  Deren
165557,Alicia  Kerstyn
165561,L.  Bulmer
165593,Larry R. Carr
165594,Henry H. True
165605,W. G. STEVENSON
165637,David I. Shapiro-Ilan
165641,L. R. SPICER
165642,Charles F. Repking
165645,Ivandy N. Castro-Astor
165657,Ping-Ping  Bai
165658,Er-Hu  Chen
165664,Fernando G. Noriega
165669,Mary Ann Hyde
165730,Billy H. Wingfield
165749,Holly  Glenn
165759, José Roberto Salvadori 
165795,George B. Vogt
165865,Ann H. Fritz
165866,Laura A. Kirby
165868,Kai Lok Chan
165869,John R. Linley
165895,Ralph C. Tate
165903,Nancy M. Porter
165940,M. A. Vitelli
165941,R. F. Brooks
165942,R.  Casique-Valdes
165943,A. Y. Reyes-Martinez
165944,S. R. Sanchez-Peña
165945,M. J. Bidochka
165946,J. I. Lopez-Arroyo
165956,Gerald L. DeMoss
165966,W. A. Simanton
165975,R. J. Niedrach
165985,James E. Wappes
165986,G. K. Sujayanand
165988,K.  Shankarganesh
165989,Supradip  Saha
165990,R. S. Tomar
165997,Christoper A. Goulart
166005,A. L. Vigueras G.
166006,L.  Portillo
166008,G. Y.
166035,Andrey V. Frolov
166084,Mariana Chani Posse
166097,Joel R. Coats
166099,J. E. H.
166100,Elinor B. McCabe
166153,Frank E. Price
166168,D. A. Watson
166177,David López Alarcón
166182,W. E. C. Merrett
166183,R. T. BRADLEY
166186,Roarke E. Donnelly
166188,P.A.  WARDLE
166203,Martha  Walsh-McGehee
166204,Timothy J. Arquette
166205,Jose M. Rodriguez
166230,W. Mac-
166254,Ann F. Schnapf
166259,MICHAEL H. IVORY
166260,PAUL B. TOMPSETT
166266,Sangmi  Lee
166284,Kenneth W. Knopf
166291,D. H. S. Wehle
166304,Richard W. Etzel
166305,Frederick L. Petitt
166309,F. Harvey Holden
166336,George  Richards
166337,Irving  Fox
166341,C. L. Scott
166363,R. M. Merkhofer
166369,Carmen Huerta
166397,W.  LINNARD
166425,L. W. Getzin
166426,Arley José Fonseca
166427,Claubert Wagner Guimarães De Menezes
166428,Sebastião Lourenço De Assis Júnior
166429,Rodrigo Diniz Silveira
166431,Jeffery C. White
166432,Angeleah A. Browdy
166438,Piotr  Presler
166440,Mirian Medina Hay-Roe
166467,Katherine L. Etienne
166468,Jennifer E. Roth
166495,Anil Kumar Dubey
166509,C. A. Musgrave
166510,D. R. Bennett
166515, Margarete V. Macêdo 
166535,R. Dennis Haines
166545,T. C. D.
166548,J.  McP. DICK
166560,Mark  Fuller
166567,Ralph L. Hand
166571,Claudia Elia Gonzales
166578,Jules  Evens
166582,Hideto Hoshina
166583, Masataka Satô 
166589,James  Lashomb
166601,Helen Nahrung
166602,David  Merritt
166606,James E. Brogdon
166639,Xialin  Zheng
166640,Xinhua  Fu
166641,Shichang  Zhang
166642,Chaoliang  Lei
166643,Hongbin Liang
166644,Peiyu Yu
166649,Peter H. Leng
166669,Victoria A. Ingalls
166670,Tracey K. Werner
166672,Ingrid  Müller-Liebenau
166677,R. P. Mayer
166705,L. B. Reed
166720,A.F.  PRINS
166740,Sridhar  Polavarapu
166742,Kevin A. Johnson
166792,Charles J. Stoner
166793,Steven P. Gieb
166802,A.  Asenjo
166803,D. J. Clarke
166824,V. H.
166830,R. N. Story
166831,F. J. Sundstrom
166863,Ian H. Gibbs
166864,Angela  Fields
166865,Timothy  Stevens
166866,Bret M. Taylor
166878,John L. Darling
166883,Roberto  Boesi
166885,Stefania  Bevacqua
166886,Francesco  Andrietti
166889,Niann-Tai  Chang
166890,Marcus  Richards
166893,Yong-Hui  Xie
166894,Sheng-Yong  Yuan
166895,Zheng-Yue  Li
166896,Hong-Rui  Zhang
166901,Carrie M. Topp
166902,Sharon  Birks
166925,DARRELL A. POSEY
166939,Erica Luft Albarracin
166940,Loren K. Russell
166941,Daniel S. Moreno
166974,A. D. Ali
166975,Doug  Caldwell
166981,Maria S. Zerbino
166982,Nora A. Altier
166983,Elizabeth  De Oliveira
166984,Isabel Regina Prazeres De Souza
166985,Elcio  Alves
166986,William  Dolezal
166988,Ana Maria Marino De Remes Lenicov
166989,Susan E. Koenig
166990,James  Koschmann
166998,Magdalena Cruz R.
166999,Mayvi Alvarado O.
167000,B.  Thrash
167001,J. J. Adamczyk Jr.
167003,A. W. Scott
167004,J. S. Armstrong
167005,R.  Pfannenstiel
167006,N.  Taillon
167011,T. G. Kooyman
167013,Philip G. Crook
167017,Sergio René Sánchez-Peña
167043,Daniel L. Hipes
167052,Justin  Vitullo
167054,J. Christopher Bergh
167066,William R. Fish
167124,S. K. Kohli
167137,Charles  O'Brien
167139,Clint D. McFarland
167141,Achille Casale
167144,Peter Verdyck
167145,D. Desender
167151,Barbara L. Mulford
167152,Jan  Krĕcĕk
167161,Van  Waddill
167199,Mark A. Ward
167200,Jeffrey M. Collins
167201,Susan M. Morgan
167212,Murray P. Hamlet
167232,Carlos  Ibañez
167256,Maribel A. González
167279,W. V. King
167280,Louva G. Lenert
167281,P.G.  Adlard
167282,H.L.  Wright
167289,M. L. Castillo
167290,P. Reyes-Castillo
167308,Gurpreet S. Brar
167309,F.  Saba
167313,B. H. BEDNALL
167319,Moh Leng Kok-Yokomi
167323, Zdzisi̷awa Teresa Stebnicka 
167324,G.
167331,Keremane L. Manjunath
167332,Chandrika  Ramadugu
167333,Matthew W. Brodie
167351,Al Newton
167380,K.  Jacques
167382,P.  Lopes
167389,Alfred B. Lau
167398,Jennifer  van Gelder
167411,Robert H. Perry
167412,Robert W. Surdick
167413,Vicente  Hernández-Ortiz
167414, Hugo Delfín-González 
167415, Andrés Escalante-Tio 
167416,Pablo Manrique-Saide
167418,Laura Cook
167419,Jennifer Babin-Fenske
167429, Gabriela Murúa 
167430,Carlos Coviella
167434,J.  Manzanilla
167435,O.  Aponte
167458,Sara S. Loss
167461,A. L. Dohany
167473,Adam B. Butler
167530,Martin  Funes
167578,Sotero S. Resilva
167613,H.  LEVACK
167639,J.  Ogle
167645,David W. Boyd Jr.
167651,J.  Ricaño
167652,M.J.  Serna-Sarriás
167653,G.  Rubio-Llorca
167667,Ronald G. Blumberg
167703,Elisabeth M. Ammon
167710,R. B. Pearce
167712,W. F. Buren
167716,J. D. Knell
167787,Bryan J. Ulmer
167788,Rita  Duncan
167790,R.M.  STRANG
167840,Lailson  do Nascimento Lemos
167841,Salustiano V. Costa-Neto
167842,Ezequiel  da Glória de Deus
167843,Cristiane Ramos de Jesus-Barros
167844,Pedro Carlos Strikis
167865,Lawrence D. Ward
167873,Federico  Castrejon
167874,Nicholas T. Homziak
167875,Jurij Homziak
167881,EDWARD A. PRAH
167882,Y.  ZOHAR
167884,H.  LOVENSTEIN
167895,Mohammad Abdullah
167923,Dong  Chu
167924,You Jun Zhang
167925,Fang Hao Wan
167945,Jéssica Herzog Viana
167979,Alfredo  Lüer
167987,W. A. Calder
167999,C. Kendall Lister
168000,James L. Linnane
168003,Gary Bernon
168012,Timothy M. Conley
168025,Laura L. Hernández
168033,David D. Herlong
168039,M. H.
168042,R. W. TOWLER
168045,F.  McAlary
168046,J. T. Fujimoto
168066,R. W. Flowers
168068,Danny Shpeley
168076,Michael  Fizdale
168077,Roy G. Van Driesche
168078,Giorgi  Kirkitadze
168079,Yan  Gao
168084,Evan Fairn
168085,Albrecht Schulte-Hostedde
168100,D. J. Wonfor
168122,E. M. Anne McNabb
168129,Bradford  Diehl
168137,L. J. Gisloti
168138,A. P. Prado
168162,T.  Weissling
168180,Glenn R. Downing
168183,J. A. WRIGHT
168184,Mingyi Tian
168185,Thierry  Deuve
168190,Cora  Sciacchetano
168191,Rodrigo  Diaz
168197,Justine B. de Cruz
168211,A.  Sourakov
168217,Marilyn M. Milligan
168241,Iran  Alia-Tejacal
168242,María  Andrade-Rodríguez
168270,T.  WATT
168273,Ben F. King
168275,COLIN  PRICE
168293,D W van der Zel
168296,Sally S. Kibby
168307,O. G. Marti Jr.
168325,Warren  Virgets III
168326,Jeremy D. Allison
168334,Sarah R. Thompson
168353,Richard C. Sanford
168362,Ellen L. Dally
168363,Ing-Ming  Lee
168422,Alvaro P. Jaramillo
168531,K. N. Rankin
168532,José Truda Palazzo Jr.
168536,Marcelo Pedreira De Miranda
168537,João Roberto Spotti Lopes
168559,Victor Hugo Duarte da Costa
168560,Francisco Andrés Dimaté Rodríguez
168561,Isabel Moreira da Silva
168562,Fernando Hercos Valicente
168590,M.  CHIHAMBAKWE
168591,R.  MUPUDZI
168592,P.T.  MUSHOVE
168593,Roy A. Crowson
168617,Oscar H. Kirsch
168623,R. L. Alten
168652,D.H.
168690,Oliver  Keenes
168751,Dana Jackson Leffingwell
168752,Anne Maclay Leffingwell
168766,Patrick  McKann
168768,Tyler P. Cobb
168778,Kathleen S. Friday
168788,CaiXia  Xu
168789,XingMin  Wang
168790,ShunXiang  Ren
168792,Xiaohui  Hou
168816,M.  Tamura
168817,Darek Czokajlo
168839,Forrest S. Hanford
168853,Erica L. McClaren
168870,A. D. K. HARDIE
168889,S. A. Field
168890,S.  Blay
168906, S. Bílý 
168908,Jerry L. Stimac
168934,Faye E. Farmer
168942,S.  Sjölander
168943,G.  Ågren
168946,Terry  Price
168947,Kayla A. Brownell
168955,John R. Young
168967,B.  Mazomenos
168968,J. L. Nation
168969,W. J. Coleman
168970,K. C. Dennis
168971,R.  Esponda
168973,Elizabeth S. Roessler
168974,B.J.W.  GREIG
168975,L.E.P.  FOSTER
168993,R. J. Willis
168994,Carolina  Rocha-Silva
168995,Ana Maria M. Viana-Bailez
168996,Zhipeng Huang
168997,Cathy A. Cleland
168998,Murray  Wolinsky
169002,Touaylia  Samir
169003,Garrido  Josefina
169004,Béjaoui  Mustapha
169005,Boumaiza  Moncef
169010,Tatsuya Niisato
169016, José Ricardo M. Mermudes 
169017,J. E. Pena
169018,R. T. McMillan Jr.
169027,Alain  Chastin
169042,Pedro A. Sánchez
169043, Fredi Sánchez 
169045,Flavio H. Caetano
169052,Milos Fassati
169057,Alejandro  Del Mazo
169070,J. C. van Keppel
169071,Susan  Roach
169128,Cynthia A. McCallum
169141,Howard L. Cogswell
169175,Anne-Marie A. Callcott
169176,Homer L. Collins
169192,M.  SANDIFORD
169217,T. A. Scarborough
169229,Karen J. Sherman
169242,Maxime  Vuillermoz
169277,A. M. Simmons
169278,K. U. Buckmire
169279,K. D. Monkman
169284,Hui-Sheng  Duan
169286,Yu-Li  Tao
169307,Lucas. N. Owen
169308,Angus.L.  Catchot
169309,Fred.R.  Musser
169310,Jeff.  Gore
169311,Don.C.  Cook
169312,Ryan  Jackson
169314,JOHN C. CHRYSSIDES
169317,J. E. OMIJEH
169319,A.  Mayor
169323,Amy Suggars Downing
169324,Clair G. Erickson
169325,Matthew J. Kraus
169357,Roger  Clarke
169358,Mike  Madders
169369,William L. Burnett
169388,J.  Komatsu
169389,J. L. Gillmore
169390,J. H. Pedrosa-Macedo
169397,Douglas G. Barron
169406,Vasily V. Grebennikov
169423, Luís A. F. Teixeira 
169432,Avas  Hamon
169433,Michael  Mclaughlin
169434,Si-lin  Yang
169444,MARTIN  CHUDNOFF
169459,G. S. BELL
169461,Monique R. Coy
169468,NANDADEVI  CORTES-RODRÍGUEZ
169469,BLANCA E. HERNÁNDEZ-BAÑOS
169502,Lynn H. Creekmore
169503,H. T. Marrable
169506,Ronald  Escano
169531,Jörg  Böhner
169533,Masanori  Kurita
169539,L. C. SHARMA
169541,Derek J. de Solla Price
169569,W. K.
169571,Azucena  Oropeza
169572,Lía C. Ruiz
169584,Curtis  Taylor
169587,MERYLYN MCKENZIE HEDGER
169589,Judy  Marshall
169594,Rogelio  Pérez-Alonso
169597,H. S. Bang
169598,O. S. Kwon
169599,S. J. Hwang
169600,Y. I. Mah
169601,Keith Grant Watdhaugh
169602,Lourdes S. Bernier
169629,James Marie McDonald
169632,K. V. Hirsch
169633,A. P. Gilman
169634,S. M. Patten
169635,Anthony E. Davies
169653,Neil D. Woffinden
169654,Elizabeth A. Webb
169655,Richard K. Bowers
169681,Ramiro E. Ruiz-Nájera
169682,Ramiro A. Ruiz-Estudillo
169683,Juan M. Sánchez-Yáñez
169685,Roberto  Coutiño-Ruiz
169686,René  Pinto-Ruiz
169687,Francisco  Guevara-Hernández
169716,John W. Kirbyson
169717,Bryce  Blackman
169718,Srinivas  Lanka
169719,Natalie  Hummel
169720,Mo  Way
169721,Michael  Stout
169723,Hassan Y. Al Ayedh
169725,Jeffery K. Tomberlin
169726,D. Craig Sheppard
169735,Edward  Nicholas
169744,Vitally  Kontorshchikov
169758,Sarah C. Hartung
169776,Mayra C. Molina-Nery
169777,C. Silvia Zepeda-Cisneros
169779,E. W. M.
169787,Sabine  Tebbich
169788,Michael  Dvorak
169789,G.  Turner
169803,Imelda Martinez M.
169817,"L. C. ""Fudd"" Graham"
169818,Larry G. Thead
169826,K. H. White
169836,Beatriz  Ronchi-Teles
169837,Vivian Siqueira Dutra
169851,W. B. KERR
169852,H. E. Trujillo
169853,B.  Arias
169854,J. M. Guerrero
169855,P.  Hernandez
169856,A.  Bellotti
169864,S.  Masuda
169867,M. Willrich Siebert
169868,J. M. Babock
169869,S.  Nolting
169870,A. C. Santos
169871,P. A. Neese
169872,J. E. King
169873,J. N. Jenkins
169874,J.  McCarty
169875,G. M. Lorenz
169876,D. D. Fromme
169885,John A. Goolsby
169895,Charles  O'Conor
169908,Jennifer D. Calkins
169979,Michael P. Yoder-Williams
169981,Fadel  Mansour
169982,J. W. Ross
169985,V. W. Schwemmler
169995,T. M. Neal
170002,Gary A. Herzog
170003,William R. Lambert
170004,W. Joe Lewis
170010,Adelaido J. Martinez
170011,Jose A. Garcia
170012,Robert J. Bartelt
170055,Tueodore H. Hubbell
170060,ERIC M. ANDERSON
170061,JAMES R. LOVVORN
170062,MATTHEW T. WILSON
170073,Christopher J. Pendlebury
170086,Martín  González-Ramirez
170090,Antonio Francis
170091,Oghenekome Onokpise
170096,P. E. Neil
170097,Raul  da Cunha Borges Filho
170098,Dirceu  Pratissoli
170099,Dori Edson Nava
170100,Fernanda Garcia Monte
170101,Antônio Lourenço Guidoni
170102,Sérgio Delmar dos Anjos e Silva
170103,Ricardo Antonio Polanczyk
170106,JOHN C. RODDA
170130,Martin Hardy
170136,George W. Schussler
170137,J. A. Hogsette
170155,Lise  Thomsen
170177,Renato  Ripa
170178,Fernanda  Espinoza
170179,Fernando  Rodriguez
170187,A. J. Schwarz
170188,A.  Zambada
170189,D. H. S. Orozco
170190,J. L. Zavala
170201,DOUGLAS  SOUTHGATE
170202,JORGE  ELGEGREN
170228,N. D. Rech
170240,Viorel N. Atudore
170306,Katherine L. Kamminga
170308,Arthur R. Richter
170310,Marina  Stein
170311,Griselda  Oria
170312,Patricia  Ramírez
170313,Mercedes S. Lizarralde De Grosso
170314,Ellen C. Lake
170315,Anthony J. Boughton
170318,J. A. Slater
170327,P. J. UPTON
170350,Frank J. S. Phelan
170363,Paolo A. Pedata
170372,Christina R. Leopold
170411,Leah Finity
170508,P. O. Lawrence
170521,Amanda L. Buchanan
170534,Khuong B. Nguyen
170561,S. Viva
170563,Michael D. Tetreau
170582,E. Kevin Ward
170598,Simão Dias Vasconcelos
170599,Roberta Luiza Salgado
170613,Meng  Sun
170614,Xiao-Tian  Tang
170615,Ming-Xing  Lu
170616,Wei-Fei  Yan
170619,Lauren C. Scopel
170620,Matthew R. Klostermann
170660,Chris  Malumphy
170661,Martin A. Hamilton
170662,Bryan N. Manco
170663,Paul W. C. Green
170664,Michele D. Sanchez
170666,Eric  Salamanca
170684,Charles O'Neil Krekorian
170686,Fei  Yang
170687,Jawwad A Qureshi
170689,Graham P. Head
170690,Ying  Niu
170691,Fangneng  Huang
170721,A. M. Auad
170722,S. O. Alves
170723,C. A. Carvalho
170724,D. M. Silva
170725,T. T. Resende
170726,B. A. Veríssimo
170727,B. P. M. HYLAND
170728,N. B. HENRY
170752,G—Y.
170755,Olasee  Davis
170756,Joe R. Williamson
170763,C. A. Benschoter
170764,D. H. Spalding
170765,W. F. Reeder
170782,Mario Alberto Miranda-Salcedo
170783,Jorge L. Leyva
170790,Gary M. Brown
170803,H. C. Reed
170806,Sharon  Fortner
170818,Loren Russell
170826,S. W. George
170827,W. A. Mackay
170835,Thomas  Ghestemme
170836,François-Xavier  Couzi
170864,Shan  Jiang
170865,Naiqin  Zhang
170866,Junping  Wang
170867,B. S. Gotyal
170868,K.  Selvaraj
170869,P. N. Meena
170870,S.  Satpathy
170892,Georges  Remaudière
170913,María  Juan-Blasco
170914,Jawwad A. Qureshi
170920,A.  ISMARIAH
170921,H.  AMINAH
170929,A.  Dunston
170949,Joan L. Perrier
170963,Hou-Feng  Li
170964,Rou-Ling  Yang
171004,Jean P. Ehrhardt
171011,Francys M. F. Vilella
171012,José M. Waquil
171013,Evaldo F. Vilella
171014,Paulo A. Viana
171015,Robert E. Lynch
171024,W.F.  Maddams
171026,Robert J. Luedtke
171030,D. L. FILER
171043,Ben  Glading
171044,Charlotte H. Glading
171045,JOHN N. FONWEBAN
171047,Gregg  Nuessly
171048,Julio Micheli
171092,Börje  Steenberg
171103,M. C. Bowman
171109,Tim  Jarsky
171112,J.  Mena-Correa
171113,J.  Sivinski
171114,M.  Gates
171115,R.  Ramírez-Romero
171116,M.  Aluja
171123,D.  McC. RAMSAY
171153,Q. Howard Zhang
171166,Stanislaw Adam Slipinski
171178,Jean M. McPherson
171180, Daniel Briceño 
171181,Jean-Pierre Cayol
171208,Bradie Roach
171209,Kenneth R. Dodge
171210,David Wiemer
171211,J.  Meinwald
171228,R. M. Blackwelder
171245,F. C. Ford Robertson
171252,Jill  Addesa
171253,Robert  Hannigan
171254,Vincent  Restivo
171255,Joseph  Rodrigues
171257,E.
171269,Christopher  Roddick
171270,Nelson  Rodriguez
171278,M. O'R.
171284,Anne  Farraway
171285,Katie  Thomas
171287,Oscar L. Johnson
171317,Juliana  Garlet
171318,Ervandil C. Costa
171319,Jardel  Boscardin
171320,Augusto B. Murari
171321,Dayanna N. Machado
171322,Ai-ping  Liang
171345,Sergei S. Izhevsky
171346,Daniel Gandolfo
171361,Esther  Burkett
171367,Yigen  Chen
171369,Jeffrey P. Wilson
171370,Xianchun  Li
171379,A.W.H.
171388,R. M. BROWN
171389,J. H. THOMPSON
171401,Alfred H. Parent
171427,P. R. Shashank
171456,Elena  Llácer
171457,Antonio  Garrido
171458,Josep-Anton  Jacas
171459,Guy  Mercadier
171473,P. V. COLLINGS
171498,Walter H. Thames
171499,DOLAND  NICHOLS
171524,G. J. PLEYDELL
171527,Catherine S. Chiu
171528,Susan M. Peckham
171529,James F. Stoll
171530,J. F. Goodwin
171555,JOHN J. KAPPES JR.
171556,JOHN M. DAVIS
171568,Frank A. Robinson
171600,Esther  Pendergast
171611,Simón A. Guerrero
171632,Frank F. Rivera-Milan
171637,J. D. Stancil
171638,T. B. Johnson
171639,R.  Gouger
171640,Jennifer Babin
171662,M.E.D.  Poore
171682,Walter H. Thames Jr.
171684,A. E. Aubin
171685,E. H. Dunn
171686,W. J. Lewis
171688,Ian E. Tracy
171706,Chi-Feng Lee
171751,Dudley Sargent De Groot
171757,A.C.  YOUNG
171760,W. R. LONG
171761,Hahn W. Capps
171768,R. W. Lewies
171774,Kyra L. Mills
171790,Alton N. Sparks
171802,B.  STREHLKE
171818,LISA M. F. EGGERT
171819,PATRICK G. R. JODICE
171828,H-N T.C.D.
171837,Sonia  Boukhris-Bouhachem
171838,S. Ben Youssef
171840,W. N. Dixon
171871,Gina C. GREEN
171880,Lawrence  Peyton
171926,R.H.  Kemp
171952,P.D.  LOWE
171954,Mary Carmen Torres-Quintero
171955,Guadalupe  Peña-Chora
171956,Víctor Manuel Hernández-Velázquez
171957,Iván  Arenas-Sosa
171966,Ronald E. Somerby
171975,Aaron  Hagerty
171976,Donald A. Horneck
171987,E. Brad Fagan
171988,Gordon A. Marsh
171989,Robert O. Schuster
172025,Rafique  Bailey
172086,Craig R. Roubos
172130,A. H. Beyer
172152,J. F. GOODWIN
172167,Siavash  Taravati
172168,Vivian  González
172179,Regina  Schenker
172227,ANDREW J. NASH
172233,Jessica L. Yorzinski
172240,James E. Lewis
172253,Mike A. Fidanza
172261,Jan  Bouska
172262,D. J. Roberts
172274,Mikhail B. Potapov
172294,Stephane Le Tirant
172327,Kent D. Elsey
172337,T. L. Simms
172369,V. K. SETH
172370,William L. Principe Jr.
172390,Walter I. Knausenberger
172392,R.J.  ARNOLD
172393,S.J.  MIDGLEY
172396,Juan P. Zaballos
172397, Gema P. Farinós 
172406,Dominique Fresneau
172407,Patrick Gonord
172408,Jean Pierre Ruaud
172415,G.  Lamb
172437,A.U.  OFONG
172438,K. Princis (Riga Latvia)
172476,Mary  Slaby
172477,Frank  Slaby
172524,Richard L. Berry
172527,Lawrence A. D. Williams
172536,Alexander Riedel
172551,Edwin Domínguez Núñez
172552,Henry P. Stockwell
172563,Don H. Wolfe
172571,J. M. Squitier
172587,David L. Johnson
172597,D. W.
172622,Calvin Rogers
172625,L.  Gourley
172626,S. L. Fales
172634,Amy R. Kuritsubo
172635,Shawn M. Combs
172636,Mary K. Murdock
172637,John A. Nilsson
172638,Richard G. Botzler
172639,DAVID  HALEY
172640,MARTIN K. LUCKERT
172641,Donald A. Wilson
172680,Rebekah E. Dritz
172685,Nayara  Braga
172757,G. R. Lovell
172764,M. A. Alonso-Zarazaga
172776,Meredith  Robbins
172777,GILL  SHEPHERD
172791,D.  RICHARDSON
172801,Chia-Hsiung  Wu
172802,Jen-Zon  Ho
172811,I.A.S.  GIBSON
172812,J.  NYLUND
172832,Paul L. Davis
172833,Kathleen A. Munroe
172840,Masao  Minagawa
172854, Andréa M. A. Nascimento 
172855,Luciana  Cursino
172856,Higgor  Gonçalves-Dornelas
172857,Andrea  Reis
172858,Edmar  Chartone-Souza
172859,WALTER  BITTERLICH
172860,Robert  Foottit
172861,Carol D. Von Dohlen
172862,Jaime  Ortego
172865,Miguel Á. García-Martínez
172867,Otto Raúl Leyva-Ovalle
172868,Hilda Eulalia Lee-Espinosa
172869,Joaquín  Murguía-González
172870,Jaime  Negrín-Ruiz
172875,C. E. C.
172897,Fatima Lizeth Gandarilla-Pacheco
172898,Luis J. Galán-Wong
172900,Isela  Quintero-Zapata
172902,R.  Humpidge
172915,Weinan  Wu
172917,Andrew K. Rasmussen
172918,Jerome  Jones
172923,Kevin  Williams
172924,Danielle  Wolaver
172925,Bobbie Jo Davis
172968,A. P. Vogler
172974,Luis E. Rivera-Cervantes
172975,Edith Garcia-Real
172980,T. Crofton Croker
172997,Sally A. Miskelly
173002,A.  Castiñeiras
173003,R.  Bartelt
173028,W. Y. Watson
173036,P. S. McCARTER
173037,J. S. BIRKS
173045,Richard W. Stallcup
173046,Amy  Gutting
173061,J.R.  ALDHOUS
173062,A.H.A.  SCOTT
173071,D. F. Whitacre
173077,G. A. Evans
173082,R. C. Paul
173084,DAVID  GRUNDY
173085,D.S.  GRUNDY
173098,Paul  Shirk
173130,D. N. Kinn
173131,Camilo A. Camargo
173138,Julián  Bueno-Villegas
173149,Betty Schuck Davis
173173,Jerome K Vanclay
173174,A. J. Sheldon
173175,H.  Mays
173183,Laura  Márquez-Valdelamar
173184,Ma. de Lourdes Navarijo
173185,Humberto A. Berlanga
173222,W. Paarmann
173235,G. N. Ovenden
173240,S. H. Goodwin
173246,M.W.  MONCUR
173248,Y.  FRIPP
173249,G.J.  KLEINSCHMIDT
173257,Diego Rodrigo Dolibaina
173258,Fernando Maia Silva Dias
173287,Jan E. Pierson
173310,M. A. Reyes-Rosas
173343,J.  OBUA
173344,D.B.A.  RUYOOKA
173345,M.  MUGISA
173373,Virendra K. Gupta
173413,C. W. Armstrong
173414,Harold  Gaulton
173523,K.  Corwin
173524,J. R. Brazzel
173533,Rocío  Sánchez
173535,Eugenia Moyano Wagner
173536,Eduardo  Martín
173545,G.  PAGE
173558,Vanessa Rodrigues Ferreira Calado
173559,Elizangela Leite Vargas
173560,Harley Nonato de Oliveira
173618,Jim  Daniel
173619,Doug  Rowland
173624,Torgeir  Johnsen
173625,Susan  Sharbaugh
173654,D. C. EIDT
173664,A. F. Newton Jr.
173674,B. S. BRYANT
173675,R. W. WELLWOOD
173676,Y. T. TAO
173677,Xikui  Wei
173684,Eugene E. Powell
173715,M. B. Vitkay
173723,Randal L. Fairbanks
173724,Ellen G. Campbell
173741,Rui-De  Xue
173760,SAGARY  NOKOE
173771,Cranson L. Hopkins
173779,F. E. Guthrie
173780,F. S. Baker Jr.
173796,Tamera M. Lewis
173801,María G. Luna
173802,Patricia C. Pereyra
173803,Eliana  Nieves
173804,Vivina  Savino
173805,Nadia G. Salas Gervassio
173806,Erica  Luft
173808,Norma E. Sánchez
173834,Xuan-Zhao  Jiang
173836,G.B.  Phillips
173837,D.  Tilakaratna
173845,Yi  Bai
173849,J. D. Asis
173851,E.  Mingo
173862,Garima  Kakkar
173864,Terezinha M. Santos-Cividanes
173865,Nilza M. Martinelli
173866,Adriana N. Martins
173867,Marcos J. Perdoná
173869,J. J. HAVEL
173870,J. P. Havel
173878,Maria Cristina de Rodriguez
173879,W. F.
